Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:CRTO	0.979	46.96		0		-295505.33	1963411.49
NYSE:HE	0.954	10.95		0	Buy 164 at $10.22 ~= $1,676 -$55.36	-30.74	-30.74
NASDAQ:HNRG	0.930	13.40		0	Buy 145 at $12.59 ~= $1,826 $19.55	38.32	38.32
NASDAQ:PLUS	0.924	84.15		0		257.92	273.76
NYSE:SEM	0.912	21.07	2024-11-13	0.125		10.55	14.74
NYSE:ALEX	0.887	19.99	2024-12-20	0.2225	GTC: delete	38.07	46.70
NYSE:RKT	0.874	13.31		0		964.39	973.66
NASDAQ:GOOD	0.869	17.95	2024-12-20	0.3		2.93	8.94
NYSE:XPEV	0.864	13.19		0		0.00	0.00
NASDAQ:METC	0.836	12.70	2025-02-28	0.1345		43.52	70.79
NASDAQ:UFPI	0.830	134.24	2024-12-02	0.3225		255.90	279.75
NASDAQ:PSNY	0.829	1.10		0		0.00	0.00
NASDAQ:AMWD	0.826	88.53		0		63.57	131.38
NASDAQ:CHDN	0.823	145.54	2024-12-06	0.0955		204.18	218.12
NYSE:MBI	0.822	6.61		0		172.98	175.04
NASDAQ:FHB	0.820	28.71	2024-11-18	0.26		-110.94	-107.70
NASDAQ:REAX	0.813	5.51		0		7.27	7.39
NASDAQ:LOVE	0.811	28.05		0		70.76	68.43
NASDAQ:NMRK	0.810	15.55	2024-11-21	0.03		88.92	95.98
NASDAQ:XPEL	0.808	46.98		0		83.03	90.38
