date,symbol,amount
2025-03-20,NYSE:RKT,0.8
2025-05-23,NASDAQ:OMAB,2.398387
2025-02-28,NASDAQ:METC,0.1375
2025-05-30,NASDAQ:METC,0.06875
2024-12-16,NYSE:PBA,0.485
2025-03-17,NYSE:PBA,0.48
2024-12-31,NASDAQ:ENSG,0.0625
2025-03-31,NASDAQ:ENSG,0.0625
2025-01-02,NYSE:TTE,0.819
2025-01-03,NYSE:TTE,0.811267
2025-03-25,NYSE:TTE,0.853607
2025-03-27,NYSE:TTE,0.851458
2024-12-03,NASDAQ:MNRO,0.28
2025-02-25,NASDAQ:MNRO,0.28
2024-12-26,NYSE:REVG,0.06
2025-03-28,NYSE:REVG,0.06
2025-05-27,NYSE:PAC,4.32216
2024-12-19,NYSE:UWMC,0.1
2025-03-20,NYSE:UWMC,0.1
