date,ticker,high,low,open,close,split_coefficient
2024-12-03,NASDAQ:CRTO,41.45,40.52,40.52,41.25,1.0
2024-12-04,NASDAQ:CRTO,42.14,41.16,41.37,41.93,1.0
2024-12-05,NASDAQ:CRTO,42.235,41.53,41.63,41.79,1.0
2024-12-06,NASDAQ:CRTO,42.2999,41.55,41.66,42.0,1.0
2024-12-09,NASDAQ:CRTO,42.47,41.53,41.9,42.42,1.0
2024-12-10,NASDAQ:CRTO,42.86,42.0,42.42,42.2,1.0
2024-12-11,NASDAQ:CRTO,42.8,41.708,42.12,42.14,1.0
2024-12-12,NASDAQ:CRTO,43.75,41.67,41.67,42.65,1.0
2024-12-13,NASDAQ:CRTO,43.36,42.08,43.0,42.57,1.0
2024-12-16,NASDAQ:CRTO,43.59,41.87,42.24,42.4,1.0
2024-12-17,NASDAQ:CRTO,42.42,41.7351,41.85,42.3,1.0
2024-12-18,NASDAQ:CRTO,42.96,41.8715,42.3,42.4,1.0
2024-12-19,NASDAQ:CRTO,43.33,41.29,41.71,43.25,1.0
2024-12-20,NASDAQ:CRTO,43.84,42.68,43.25,43.41,1.0
2024-12-23,NASDAQ:CRTO,43.89,42.17,43.51,42.23,1.0
2024-12-24,NASDAQ:CRTO,42.0,40.8711,41.6,41.0,1.0
2024-12-26,NASDAQ:CRTO,41.56,40.33,40.5,40.705,1.0
2024-12-27,NASDAQ:CRTO,40.915,40.12,40.3,40.52,1.0
2024-12-30,NASDAQ:CRTO,40.09,39.27,40.01,39.27,1.0
2024-12-31,NASDAQ:CRTO,40.23,39.27,39.63,39.56,1.0
2025-01-02,NASDAQ:CRTO,40.28,39.1,39.58,39.33,1.0
2025-01-03,NASDAQ:CRTO,41.31,39.46,39.59,41.3,1.0
2025-01-06,NASDAQ:CRTO,41.76,40.23,41.1,40.46,1.0
2025-01-07,NASDAQ:CRTO,40.5225,38.55,40.47,38.86,1.0
2025-01-08,NASDAQ:CRTO,39.28,38.45,38.8,39.12,1.0
2025-01-10,NASDAQ:CRTO,38.02,36.44,37.89,36.97,1.0
2025-01-13,NASDAQ:CRTO,38.04,36.68,36.68,37.04,1.0
2025-01-14,NASDAQ:CRTO,38.1,36.97,37.5,37.23,1.0
2025-01-15,NASDAQ:CRTO,38.14,37.425,37.69,37.85,1.0
2025-01-16,NASDAQ:CRTO,37.93,37.0395,37.69,37.48,1.0
2025-01-17,NASDAQ:CRTO,37.95,37.35,37.63,37.68,1.0
2025-01-21,NASDAQ:CRTO,38.64,37.725,38.0,37.8,1.0
