Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:PBI	0.997	$9.18	21 Feb 2025	0.05		$26.67	$38.16
NYSE:SPXC	0.983	$140.49				$208.67	$227.57
NASDAQ:LECO	0.974	$195.39	31 Mar 2025	0.72		$234.73	$263.48
NYSE:SEM	0.973	$18.01	3 Mar 2025	0.1095		$8.06	$22.88
NYSE:HEI	0.962	$270.36				$411.15	$468.27
NASDAQ:FMNB	0.954	$13.59	14 Mar 2025	0.17		-$101.39	-$99.52
NYSE:LPX	0.946	$91.75	27 Feb 2025	0.26		$109.72	$128.66
NYSE:GES	0.946	$10.18	16 Apr 2025	0.3		$88.77	$101.61
NYSE:LU	0.935	$2.70			ADR	-$5.20	-$4.96
NYSE:VSCO	0.933	$17.22				$223.04	$257.18
NYSE:BBW	0.932	$39.01	27 Mar 2025	0.2		$0.00	$0.00
NYSE:FBK	0.930	$43.50	11 Feb 2025	0.175		$0.00	$0.00
NASDAQ:KLAC	0.922	$700.63	24 Feb 2025	1.5125		$823.15	$858.25
NASDAQ:FITB	0.919	$37.47	31 Mar 2025	0		-$183.46	-$176.43
NYSE:HEI.A	0.918	$214.58				$306.07	$343.53
NASDAQ:NVMI	0.916	$191.82				$299.87	$310.08
NASDAQ:UVSP	0.916	$28.93	5 Feb 2025	0.21		-$175.56	-$175.06
NASDAQ:LFUS	0.906	$164.45	20 Feb 2025	0.675		$320.26	$372.79
NASDAQ:WASH	0.904	$29.07	1 Apr 2025	0.56		-$250.90	-$247.68
NASDAQ:MOFG	0.903	$28.92	3 Mar 2025	0.2425		-$171.24	-$171.26
NYSE:MD	0.903	$14.20				$68.98	$73.49
NASDAQ:WTFC	0.902	$109.33	8 May 2025	0.45		$0.00	$0.0
