date,symbol,amount
2025-05-15,NYSE:SEM,0.0625
2025-08-13,NYSE:SEM,0.0625
2025-05-19,NYSE:PBI,0.07
2025-08-11,NYSE:PBI,0.08
2025-06-02,NYSE:TPL,1.6
2025-09-02,NYSE:TPL,1.6
2025-04-21,NASDAQ:GOOD,0.1
2025-05-21,NASDAQ:GOOD,0.1
2025-06-20,NASDAQ:GOOD,0.1
2025-07-21,NASDAQ:GOOD,0.1
2025-08-20,NASDAQ:GOOD,0.1
2025-09-22,NASDAQ:GOOD,0.1
2025-06-05,NYSE:LB,0.1
2025-09-04,NYSE:LB,0.1
2025-06-30,NYSE:TGLS,0.15
2025-09-30,NYSE:TGLS,0.15
2025-07-01,NYSE:INGR,0.8
2025-10-01,NYSE:INGR,0.82
2025-06-02,NYSE:K,0.57
2025-09-02,NYSE:K,0.58
2025-06-06,NASDAQ:WSBC,0.37
2025-09-05,NASDAQ:WSBC,0.37
2025-05-12,NASDAQ:CLMB,0.17
2025-08-11,NASDAQ:CLMB,0.17
