Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$29.85,36.84%,36.84%,$40.85,$40.85,$45.22,51.49%,$46.90,57.10%,$94.50,216.59%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.75,$13.22,-5.82%,-5.82%,$12.45,$13.73,$14.01,5.98%,-$55.95,-523.19%,-$51.24,-487.59%,AAL
NYSE:ABEV,11 Aug 2025,$2.67,5,$2.88,6,4,$2.17,23.13%,23.13%,$2.67,$2.88,$2.27,4.61%,$3.06,41.11%,$3.87,78.51%,ABEV
NYSE:ABM,8 Oct 2024,$59.18,4,,,,$48.34,22.42%,,,,$50.10,3.64%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.89,87.48%,,,,$4.07,4.63%,$10.20,162.18%,$18.52,376.04%,ACCO
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$9.29,-5.92%,,,,$10.20,9.80%,$10.11,8.85%,$10.15,9.27%,ACHR
NYSE:ACN,18 Aug 2025,$250.90,4,$337.22,9,4.25,$255.88,-1.95%,-1.95%,$250.90,$337.22,$386.43,51.02%,$596.33,133.05%,$631.17,146.67%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.37,38.65%,,,,,-100.00%,-$2.00,-640.54%,-$2.00,-640.54%,ADIL
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.30,1.24%,,,,$13.33,0.23%,-$55.94,-520.60%,-$51.65,-488.33%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.95,19.06%,,,,$23.02,53.98%,$52.07,248.30%,$77.35,417.36%,AFYA
