ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:HOOD,18.71,117.7,109.32,114.17,4333280144.26
NYSE:JHX,17.91,43.57,20.51,29.01,335478754.58
NYSE:HIMS,13.47,72.98,44.57,46.02,1085454811.49
NYSE:HPE,11.965,24.66,22.45,21.16,319504148.04
NASDAQ:GRAB,3.17,5.72,5.13,5.13,114373572.49
NYSE:AG,4.59,9.48,9.0,8.85,142529391.96
NYSE:PR,10.01,16.33,13.76,13.44,133521444.34
NYSE:WU,7.89,12.395,8.68,8.36,80477261.62
NYSE:CNH,9.92,14.27,12.37,12.19,124979069.13
NASDAQ:TIGR,3.39,14.48,12.71,10.85,58018875.20
NASDAQ:NVTS,1.52,9.48,6.43,6.92,88675899.24
NYSE:HPQ,21.21,39.795,27.74,26.74,191392614.22
NYSE:MDT,79.29,96.25,92.71,93.02,801673676.77
NASDAQ:XP,10.82,20.64,16.46,17.56,110599495.47
NYSE:SW,37.01,56.9857,45.7,42.69,196102559.35
NYSE:AR,24.53,44.015,30.85,32.0,160088191.50
NYSE:SCHW,61.16,99.59,95.83,96.11,852719566.12
NASDAQ:APA,13.584000000000001,29.47,21.64,20.48,123663662.40
NYSE:BTI,34.17,59.29,58.51,57.15,242533877.35
NYSE:TDOC,6.35,15.21,7.68,7.52,39626731.69
