Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:TLRY	1	1.77				2.074812196315925	1.7847633506547107
NYSE:HIMS	1	68.56				50.44359962231977	51.353985639259946
NYSE:HPE	1	34.04	2025-06-18	0.13		0	0
NASDAQ:TIGR	1	19.44			ADR	0	0
NASDAQ:GRAB	1	7.61				5.553466748568489	6.106402531080766
NASDAQ:JD	1	47.94			ADR	115.01359256346821	116.49136955720755
NASDAQ:BTOG	1	0.75				0	0
NASDAQ:XP	1	25.20				-4.574953168433555	-2.3042999648715625
NYSE:HPQ	1	41.63	2025-09-10	0.28275		0	0
NYSE:TDOC	1	11.56				20.861686357225043	40.73297037756658
NYSE:BTI	1	88.71	2025-10-03	0.6005	ADR	0	0
NYSE:SE	1	278.52			ADR	298.75979989223464	299.9920535989714
NYSE:BB	1	5.67				5.177647935458088	6.036934057802836
NYSE:DDD	1	3.18				-1.5284874766620569	2.1133124837083073
NASDAQ:IBKR	1	95.09	2025-08-29	0.067		709.5856834619902	713.204709429597
NASDAQ:BTDR	1	20.49				11.183392322792308	15.6649431447096
NYSE:PBI	1	17.89	2025-08-11	0.0575		17.226745091012532	26.471813286662698
NASDAQ:FLEX	1	77.98				47.26187708796698	62.3088515485362
NYSE:IBM	1	365.52	2025-08-08	1.6725		212.66450916619252	272.98864615697875
NYSE:ACN	1	393.25	2025-07-10	1.48		599.6703916098276	634.5106186382652
