Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$54.25,-24.71%,,,,$52.79,-2.69%,$33.24,-38.74%,$67.12,23.73%,AA,NYSE:AA,-0.561
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$15.44,-19.36%,,,,$15.26,-1.17%,$6.80,-55.95%,$12.56,-18.65%,AAL,NASDAQ:AAL,-0.756
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$75.77,-13.22%,,,,$78.36,3.42%,$87.89,15.99%,$96.13,26.87%,AAON,NASDAQ:AAON,0.207
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.00,-8.88%,,,,,-100.00%,-$2.00,-102.63%,-$2.00,-102.63%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$76.00,-3.38%,,,,$78.22,2.92%,-$147.07,-293.51%,-$137.49,-280.91%,ABCB,NYSE:ABCB,0.100
NYSE:ABEV,22 Dec 2025,$3.11,5,$2.75,7,4,$2.43,13.17%,13.17%,$2.75,$3.11,$2.43,0.00%,$6.34,160.74%,$7.56,211.10%,ABEV,NYSE:ABEV,0.033
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.67,30.72%,,,,$41.71,-2.25%,$47.29,10.84%,$65.65,53.86%,ABM,NYSE:ABM,-0.476
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,2.75,$124.84,-2.61%,-2.61%,$121.58,$147.38,$125.33,0.39%,$200.41,60.54%,$233.29,86.87%,ABT,NYSE:ABT,-0.141
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.73,95.52%,,,,$3.64,-2.41%,$35.42,849.68%,$50.18,1245.24%,ACCO,NYSE:ACCO,-0.532
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.70,10.32%,,,,$11.36,-2.91%,$19.52,66.80%,$28.90,147.02%,ACEL,NYSE:ACEL,-0.598
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$95.87,1.46%,,,,$95.91,0.04%,$359.40,274.88%,$368.91,284.80%,ACGL,NASDAQ:ACGL,-0.550
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.89,10.77%,,,,$8.18,3.68%,$7.24,-8.24%,$7.28,-7.75%,ACHR,NYSE:ACHR,-0.043
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$271.09,-2.58%,,,,$277.17,2.24%,$375.24,38.42%,$402.14,48.34%,ACN,NYSE:ACN,0.142
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.26,29.81%,,,,$8.09,-2.06%,$11.03,33.58%,$7.90,-4.38%,ACVA,NYSE:ACVA,-0.572
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$72.40,9.48%,,,,$70.27,-2.94%,$49.73,-31.32%,$83.95,15.95%,ADC,NYSE:ADC,-0.859
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.23,123.04%,,,,,-100.00%,-$2.00,-969.57%,-$2.00,-969.57%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,11 Dec 2025,$9.80,3,$13.40,9,3.5,$8.75,11.97%,11.97%,$9.80,$13.40,$9.15,4.57%,$4.78,-45.35%,$27.38,212.91%,ADTN,NASDAQ:ADTN,0.151
