ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:DD,33.335,85.0,40.89,41.26,223163208.37
NYSE:PBR.A,10.275,13.6,11.04,11.18,60060493.22
NYSE:RES,4.1,7.17,5.42,5.55,10608950.81
NASDAQ:MRVL,47.085,127.48,85.76,84.09,958053066.50
NASDAQ:QCOM,120.8019,205.95,173.43,175.25,1321785533.97
NASDAQ:NVDA,86.62,212.1899,188.22,180.99,29665163372.64
NASDAQ:CEVA,18.23,38.94,21.51,21.23,15868411.49
NASDAQ:WFRD,36.735,82.256,78.07,78.83,81538705.52
NASDAQ:AVGO,138.1,414.61,349.39,340.36,17181061873.54
NYSE:SLB,31.11,44.66,37.9,38.08,420160703.42
NYSE:CLB,9.72,20.8195,16.3,16.24,6191401.13
NYSE:PUMP,4.51,11.66,9.26,9.11,17698382.51
NYSE:AROC,20.12,30.44,25.95,25.34,39609029.58
NASDAQ:ADI,158.65,284.225,275.63,274.44,941152108.06
NYSE:BSX,85.98,109.5,95.76,95.61,906456125.19
NYSE:SYK,329.1608,406.19,352.5,355.2,607921108.58
NYSE:NOV,10.84,16.96,15.68,15.67,55448318.68
NYSE:NGS,16.7301,34.37,33.74,32.48,2333589.10
NYSE:JCI,68.03,123.78,121.71,119.53,702402301.98
NYSE:KGS,29.25,50.43,36.82,36.31,50692529.06
