ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:XP,10.82,26.31,14.74,13.93,68464474.73
NYSE:UGP,2.5311,6.345,3.04,2.78,3672183.12
NASDAQ:AFYA,14.52,22.24,17.68,16.58,1734151.85
NYSE:CIG,1.69,2.7,1.98,1.87,3050476.67
NYSE:EQC,1.4,21.0,1.72,1.69,1782325.31
NYSE:BSBR,3.75,6.015,4.72,4.62,4861881.32
NYSE:BRFS,2.67,4.87,3.52,3.6,6368130.86
NASDAQ:PLUS,67.09,106.98,70.31,70.43,19275575.68
NYSE:PBA,33.6,43.44,36.25,36.67,61835353.22
NYSE:SEM,18.02,40.98,18.65,18.83,14085433.33
NASDAQ:GOOD,11.89,17.875,16.21,16.23,2704826.45
NYSE:REZI,17.43,28.28,21.89,21.57,14806520.62
NASDAQ:JJSF,116.6001,180.8,124.85,122.34,21526597.94
NYSE:EBR,5.4525,9.11,6.58,6.03,5697426.39
NASDAQ:PFG,72.2095,91.975,85.65,82.33,155909979.99
NASDAQ:AVO,9.54,15.25,12.04,11.39,3525603.00
NYSE:BBW,22.33,48.23,38.0,37.82,8815800.86
NASDAQ:MLKN,20.89,31.73,22.73,21.75,10320185.50
NYSE:ABEV,1.76,2.72,1.9,1.84,56746251.73
NYSE:HEI.A,146.915,219.22,177.68,188.73,35307008.13
