Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:PBI	1	17.27	2025-05-19	0.0525	Buy 1290 at $11.51 ~= $14,848	0	0
NASDAQ:SSRM	1	20.17			Buy 1104 at $13.45 ~= $14,849	0	0
NASDAQ:EEFT	1	160.74			Buy 59 at $107.16 ~= $6,322	0	0
NASDAQ:BOOM	1	13.04				0	0
NASDAQ:LWAY	1	40.38				0	0
NYSEAMERICAN:UAMY	0.9965018630027771	2.50				0	0
NASDAQ:RGLD	0.9872443675994873	196.63	2025-07-03	0.15		0	0
NASDAQ:CALM	0.9868887662887573	112.85	2025-04-30	1.685		0	0
NYSE:HUYA	0.975943386554718	2.86	2025-07-01	0	ADR	0	0
NYSE:SEM	0.9694492816925049	16.41	2025-05-15	0.09375	GTC: delete	0	0
NYSE:PWR	0.9571583271026611	415.39	2025-07-01	0.095		0	0
NYSE:EME	0.9543523192405701	589.44	2025-04-17	0.25		0	0
NASDAQ:GLDD	0.944716215133667	12.93			GTC: delete	0	0
NASDAQ:PAYX	0.9232598543167114	156.58	2025-05-12	1.005		186.76262271250587	202.3759809257832
NYSE:HIMS	0.909092128276825	52.04				0	0
NASDAQ:AIRS	0.8929438591003418	5.78				0	0
NASDAQ:ROAD	0.8854758739471436	116.09				0	0
NASDAQ:FTAI	0.8634149432182312	122.06	2025-05-16	0.3		0	0
NASDAQ:IESC	0.8587507009506226	325.43				0	0
NASDAQ:MATW	0.853545069694519	27.22	2025-05-12	0.2475	GTC: delete	0	0
