date,ticker,high,low,open,close
2025-06-20,NYSE:SEM,15.06,14.7718,14.96,14.84
2025-06-20,NASDAQ:PPC,46.2599,45.075,45.99,45.44
2025-06-20,NYSE:OI,14.14,13.505,13.58,14.02
2025-06-20,NASDAQ:CALM,104.4899,101.76,104.06,102.1
2025-06-20,NASDAQ:ROAD,105.71,100.765,104.34,102.34
2025-06-20,NYSE:EME,489.32,478.1601,487.72,485.03
2025-06-20,NASDAQ:IGIC,23.0592,21.91,22.85,22.0
2025-06-20,NASDAQ:TOI,2.43,2.23,2.4,2.39
2025-06-20,NYSE:TKR,71.185,70.065,71.01,70.56
2025-06-20,NASDAQ:GLDD,11.92,11.555,11.92,11.71
2025-06-20,NASDAQ:STRL,225.2489,214.2,224.4,217.97
2025-06-20,NYSE:STVN,24.125,23.2,24.08,23.29
2025-06-20,NYSE:PWR,365.86,358.9164,363.67,360.78
2025-06-20,NYSEAMERICAN:UAMY,3.04,2.72,2.92,2.73
2025-06-20,NYSE:RBC,374.47,369.26,373.78,372.5
2025-06-20,NASDAQ:IESC,278.47,271.0,276.88,273.13
2025-06-20,NYSE:PBI,10.5,10.115,10.49,10.24
2025-06-20,NASDAQ:BELFA,82.15,78.905,82.15,80.5
2025-06-20,NASDAQ:MGPI,30.935,29.0275,30.93,29.52
