date,symbol,amount
2025-08-20,NASDAQ:PPC,2.1
2025-08-04,NASDAQ:CALM,2.354
2025-10-29,NASDAQ:CALM,1.371
2025-08-29,NASDAQ:IGIC,0.05
2025-08-13,NYSE:SEM,0.0625
2025-11-12,NYSE:SEM,0.0625
2025-08-11,NYSE:PBI,0.08
2025-11-10,NYSE:PBI,0.09
2025-08-15,NASDAQ:MGPI,0.12
2025-11-14,NASDAQ:MGPI,0.12
2025-07-01,NYSE:PWR,0.1
2025-10-01,NYSE:PWR,0.1
2025-07-03,NASDAQ:RGLD,0.45
2025-10-03,NASDAQ:RGLD,0.45
2025-09-15,NYSE:KBR,0.165
2025-12-15,NYSE:KBR,0.165
2025-09-02,NYSE:AIZ,0.8
2025-12-01,NYSE:AIZ,0.88
2025-08-14,NYSE:FIX,0.5
2025-11-13,NYSE:FIX,0.6
2025-11-24,NYSE:IRS,1.415105
2025-09-25,NYSE:BBW,0.22
2025-11-26,NYSE:BBW,0.22
