date,ticker,high,low,open,close,split_coefficient
2025-06-30,NYSE:PWR,381.55,368.7,375.14,378.08,1.0
2025-06-30,NASDAQ:SSRM,12.77,12.31,12.31,12.74,1.0
2025-06-30,NASDAQ:CALM,100.4,98.05,99.5,99.63,1.0
2025-06-30,NASDAQ:RGLD,178.075,174.38,176.5,177.84,1.0
2025-06-30,NYSE:FIX,541.545,530.6643,536.5,536.055,1.0
2025-06-30,NASDAQ:EEFT,102.085,100.78,102.0,101.38,1.0
2025-06-30,NASDAQ:IESC,298.31,284.28,293.56,296.23,1.0
2025-06-30,NASDAQ:IGIC,24.3,23.93,24.14,24.02,1.0
2025-06-30,NYSE:PBI,11.165,10.8035,10.91,10.91,1.0
2025-06-30,NYSE:EME,538.3,523.5,529.67,534.89,1.0
2025-06-30,NYSE:SEM,15.47,15.095,15.31,15.18,1.0
2025-06-30,NYSE:QUAD,5.81,5.64,5.75,5.65,1.0
2025-06-30,NYSE:FINV,9.69,9.35,9.62,9.48,1.0
2025-06-30,NASDAQ:PAYX,146.0,142.9396,143.99,145.46,1.0
2025-06-30,NASDAQ:TREE,37.78,36.74,37.37,37.07,1.0
2025-06-30,NYSE:TFPM,23.785,23.08,23.11,23.69,1.0
2025-06-30,NASDAQ:WSC,28.525,27.22,28.4,27.4,1.0
2025-06-30,NASDAQ:BOOM,8.42,7.98,8.19,8.06,1.0
2025-06-30,NASDAQ:FTAI,119.5,114.18,119.26,115.04,1.0
2025-06-30,NYSE:MAX,11.08,10.65,10.905,10.98,1.0
