ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:PWR,227.08,382.79,378.08,365.76,489941860.28
NASDAQ:SSRM,4.32,13.46,12.74,13.03,42825788.62
NASDAQ:CALM,61.19,116.41,99.63,101.55,92173227.83
NASDAQ:RGLD,124.79,191.7756,177.84,183.07,102386574.27
NYSE:EME,319.49,545.295,534.89,494.6,265391647.42
NYSE:FIX,272.925,553.085,536.21,502.98,194195261.89
NASDAQ:EEFT,85.24,114.25,101.38,100.35,48726580.54
NASDAQ:IESC,129.16,320.085,296.23,281.39,50311060.42
NASDAQ:IGIC,13.91,27.76,24.02,22.51,4201188.87
NYSE:QUAD,4.06,9.125,5.65,5.44,1518205.15
NYSE:PBI,5.22,11.24,10.91,10.31,26340860.37
NYSE:SEM,14.0301,40.98,15.18,14.89,23422685.00
NYSE:FINV,4.77,11.08,9.48,9.4,26707906.33
NASDAQ:TREE,33.5,62.49,37.07,35.61,8643669.51
NYSE:MAX,7.33,20.91,10.95,10.84,5044994.35
NYSE:TFPM,13.94,25.45,23.69,24.96,11091240.47
NASDAQ:FTAI,75.06,181.64,115.04,130.23,386552875.54
NASDAQ:WSC,21.91,43.8,27.4,26.72,59471907.82
NASDAQ:PAYX,115.4,161.24,145.46,151.25,537728076.74
NASDAQ:BOOM,6.02,15.14,8.06,7.73,1487227.89
