Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:PWR	1	574.19	2025-07-01	0.095	Buy 36 at $382.79 ~= $13,780	370.71854691022486	467.3227805583383
NASDAQ:SSRM	1	18.57			Buy 263 at $12.38 ~= $3,256	12.016124745723236	13.782587744120887
NASDAQ:CALM	1	149.64	2025-04-30	1.685		779.2793079080254	813.0103867019608
NASDAQ:RGLD	1	264.70	2025-07-03	0.15		250.82369735468077	256.7483469392272
NYSE:EME	1	798.74	2025-04-17	0.25		592.7276944382578	656.7096794403558
NYSE:FIX	1	804.68	2025-05-16	0.3375		726.2371085344141	779.9937652696822
NASDAQ:EEFT	1	155.98				334.91804174731845	99.84384030133886
NASDAQ:IESC	1	441.21				301.32971519721036	342.1897631170982
NASDAQ:IGIC	1	36.18	2025-06-02	0		-1.7310777010908853	-1.7310777010908853
NYSE:QUAD	0.9941946268081665	6.40	2025-05-22	0.05625		89.91427106510811	75.76076468656441
NYSE:PBI	0.9935944676399231	12.38	2025-05-19	0.0525		6.231355288457943	12.098135783467024
NYSE:SEM	0.9803697466850281	16.66	2025-05-15	0.09375		20.24596813255463	29.579603707609785
NYSE:FINV	0.9790381193161011	10.41	2025-04-16	0.505	ADR	25.590533033424816	26.629142543979174
NASDAQ:TREE	0.9662161469459534	40.21				52.69301961210758	16.411696031630758
NYSE:MAX	0.9650125503540039	11.85				30.290789486176582	32.09301954622973
NYSE:TFPM	0.9627739191055298	25.29	2025-05-30	0.0545		23.99442417624345	25.0758927916287
NASDAQ:FTAI	0.9577141404151917	132.76	2025-05-16	0.3		53.28444354266645	64.50680799478383
NASDAQ:WSC	0.9451730847358704	30.42	2025-06-04	0.0175		40.41990597168697	61.61014780812971
NASDAQ:PAYX	0.9449164867401123	154.46	2025-05-12	1.005		184.0723582640701	199.80895590483794
NASDAQ:BOOM	0.9268079400062561	8.74				4.427798789995763	34.22174355689449
