date,symbol,amount
2025-05-15,NYSE:SEM,0.0625
2025-08-13,NYSE:SEM,0.0625
2025-03-27,NYSE:BBW,0.22
2025-06-26,NYSE:BBW,0.22
2025-04-21,NASDAQ:GOOD,0.1
2025-05-21,NASDAQ:GOOD,0.1
2025-06-20,NASDAQ:GOOD,0.1
2025-07-21,NASDAQ:GOOD,0.1
2025-08-20,NASDAQ:GOOD,0.1
2025-04-10,NYSE:GIS,0.6
2025-07-10,NYSE:GIS,0.61
2025-06-04,NYSE:NPO,0.31
2025-09-03,NYSE:NPO,0.31
2025-03-31,NYSE:TGLS,0.15
2025-06-30,NYSE:TGLS,0.15
2025-06-06,NYSE:TT,0.94
2025-09-05,NYSE:TT,0.94
2025-04-15,NASDAQ:BELFB,0.07
2025-07-15,NASDAQ:BELFB,0.07
2025-05-15,NASDAQ:LKQ,0.3
2025-08-14,NASDAQ:LKQ,0.3
2025-05-19,NYSE:PBI,0.07
2025-08-11,NYSE:PBI,0.08
2025-05-19,NASDAQ:KLAC,1.9
2025-08-18,NASDAQ:KLAC,1.9
2025-05-14,NYSE:URI,1.79
2025-08-13,NYSE:URI,1.79
2025-04-09,NYSE:KAI,0.34
2025-07-10,NYSE:KAI,0.34
2025-03-21,NYSE:TPB,0.075
2025-06-20,NYSE:TPB,0.075
