Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:QXO	1.000	21.30		0		0.00	0.00
NYSE:SEM	1.000	25.55	2025-03-03	0.1095		0.00	0.00
NASDAQ:DOYU	0.977	9.09		0	ADR	-295505.33	1963411.49
NASDAQ:SCNX	0.974	2.05		0		7.54	7.77
NYSE:BBW	0.956	40.30	2025-03-27	0.2		0.00	0.00
NASDAQ:GOOD	0.947	15.98	2025-03-19	0.3		0.00	0.00
NYSE:POST	0.941	121.78		0		169.79	317.55
NYSE:GIS	0.938	63.35	2025-04-10	0.5975		65.37	79.53
NYSE:IRS	0.934	14.58		0	ADR	19.37	21.14
NASDAQ:ZBRA	0.929	307.35		0		0.00	0.00
NYSE:NPO	0.926	187.56	2025-03-05	0.3		0.00	0.00
NYSE:TGLS	0.924	78.33	2025-03-31	0.12		0.00	0.00
NYSE:TT	0.905	373.72	2025-03-07	0.84		529.91	598.20
NASDAQ:BELFB	0.902	81.69	2025-04-15	0.06		0.00	0.00
NASDAQ:LKQ	0.901	44.44	2025-03-13	0.3	GTC: delete	0.00	0.00
NYSE:PBI	0.897	10.12	2025-02-21	0.05		0.00	0.00
NASDAQ:KLAC	0.883	760.24	2025-02-24	1.5125		932.90	971.89
NASDAQ:ZD	0.876	45.03		0		116.33	172.25
NYSE:URI	0.874	672.30	2025-02-12	1.63		799.56	877.51
NYSE:KAI	0.874	365.19	2025-04-09	0.32		561.48	637.05
NYSE:TPB	0.863	62.04	2025-03-21	0.07		0.00	0.00
