	Score	Target	ExDividendDate	DividendPerShare    Notes	intrinsicValuePerShareBasic intrinsicValuePerShareAdjusted
NYSE:NU	0.996	$11.77				$77.31	$77.60															
NYSE:ERJ	0.983	$54.79				$47.91	$53.02															
NYSE:BBD	0.974	$2.15	7 Mar 2025	0		$0.00	$0.00															
NYSE:LII	0.968	$628.83	31 Dec 2024	1.1375		$1,018.46	$1,069.09															
NASDAQ:XP	0.965	$15.55	10 Dec 2024	0		-$168.55	-$159.69															
NYSE:SUZ	0.965	$10.19	18 Dec 2024	0		$0.00	$0.00															
NYSE:IR	0.964	$89.07	5 Mar 2025	0.02		$362.06	$383.68															
NASDAQ:INTR	0.963	$5.59	14 Feb 2025	0		$0.00	$0.00															
NASDAQ:AFYA	0.955	$17.74				$81.66	$105.32															
NYSE:EBR	0.949	$6.98	30 Dec 2024	0.45575		$5.71	$12.27															
NYSE:VALE	0.948	$10.14	10 Mar 2025	0.345		$4.57	$10.71															
NASDAQ:MATW	0.946	$26.44	10 Feb 2025	0.245		$61.35	$97.19															
NASDAQ:SGML	0.942	$12.31				$26.57	$28.28															
NYSE:PWR	0.934	$273.14	2 Jan 2025	0.0925		$0.00	$0.00															
NYSE:BSBR	0.931	$4.74				$9.76	$7.12															
NYSE:GGB	0.923	$3.03	7 Mar 2025	0.2		$0.00	$0.00															
NASDAQ:ZBRA	0.920	$323.73				$0.00	$0.00															
NYSE:CIG	0.918	$2.00	30 Dec 2024	0.273		$4.81	$11.20															
NYSE:AZUL	0.917	$1.90				-$39.93	$15.34															
NYSE:SEM	0.915	$19.15	3 Mar 2025	0.1095		$0.00	$0.00	
