Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:SEM	1.000	$21.99	15 May 2025	0.09375	Buy 239 at $14.66 ~= $3,504	$18.42	$27.56
NASDAQ:MELI	0.965	$2,768.93				$3,208.46	$3,427.71
NYSE:SUPV	0.960	$17.17	19 May 2025	0	ADR	-$45,749.70	-$45,568.43
NYSE:CEPU	0.928	$14.60			ADR	-$1,414.96	$8,111.32
NYSE:BBAR	0.922	$23.19			ADR	-$7,075.94	-$6,964.02
NYSE:ARCO	0.907	$7.83	24 Jun 2025	0.06		$0.76	$14.06
NYSE:YPF	0.899	$38.80			ADR	-$42,667.57	-$34,477.74
NYSE:BMA	0.896	$100.46			ADR	-$61,975.29	-$57,797.77
NASDAQ:WSBC	0.866	$32.29	6 Jun 2025	0.365		-$185.79	-$185.96
NYSE:WBS	0.860	$54.29	12 May 2025	0.4		-$311.45	-$304.30
NASDAQ:FFBC	0.847	$25.34	2 Jun 2025	0.2375		-$103.61	-$98.35
NYSE:TME	0.847	$18.47	3 Apr 2025	0.3285	ADR	$47.77	$48.46
NASDAQ:SMBK	0.842	$32.77	2 May 2025	0.08		-$185.60	-$175.18
NYSE:BBW	0.841	$43.29	27 Mar 2025	0.2		$0.00	$0.00
NASDAQ:CALM	0.830	$100.91	30 Apr 2025	1.685		$737.98	$770.01
NASDAQ:HBAN	0.824	$16.19	17 Jun 2025	0.155		-$90.61	-$81.24
NYSE:NBHC	0.819	$38.44	30 May 2025	0.29		-$133.58	-$122.52
NASDAQ:PFIS	0.816	$51.15	30 May 2025	0.56575		-$364.87	-$355.53
NYSE:RF	0.815	$22.41	2 Jun 2025	0.2475		-$78.90	-$77.54
NYSE:KEY	0.813	$16.50	27 May 2025	0.205		-$103.80	-$102.80
NYSE:FINV	0.806	$9.06	16 Apr 2025	0	ADR	$17.94	$18.30
NYSE:SHG	0.801	$41.85			ADR	-$555.69	-$538.38
