Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$37.03,10.31%,,,,$36.30,-1.97%,$16.51,-55.42%,$50.67,36.83%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.27,-6.17%,,,,$12.48,-5.95%,$5.11,-61.50%,$10.85,-18.22%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$96.41,-31.80%,,,,$96.48,0.07%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$71.76,-3.50%,-3.50%,$69.25,$77.00,,-100.00%,-$2.00,-102.79%,-$2.00,-102.79%,ABCB,NYSE:ABCB
NYSE:ABCB,24 Oct 2025,$71.01,3,,,3,$71.76,-1.05%,-1.05%,$71.01,$71.01,$73.14,1.92%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,26 Oct 2025,$2.79,5,$2.90,6,4,$2.36,18.22%,18.22%,$2.79,$2.90,$2.28,-3.39%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.11,29.39%,,,,$43.72,1.41%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.66,99.26%,,,,$3.44,-6.01%,$36.09,886.18%,$51.02,1293.92%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$9.97,29.46%,,,,$10.39,4.21%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$86.03,13.07%,,,,$86.57,0.63%,$383.91,346.25%,$384.95,347.45%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$10.37,-15.72%,,,,$11.73,13.11%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$248.78,6.15%,,,,$249.02,0.10%,$560.25,125.20%,$613.57,146.63%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$9.37,14.43%,,,,$8.79,-6.19%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.02,8.55%,,,,$74.67,2.26%,$89.38,22.40%,$132.94,82.06%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.34,50.88%,,,,,-100.00%,-$2.00,-688.24%,-$2.00,-688.24%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$10.47,-27.51%,,,,$10.31,-1.53%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$161.58,-50.81%,-50.81%,$79.48,$79.48,$167.11,3.42%,$304.42,88.40%,$365.14,125.98%,AEM,NYSE:AEM
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$119.94,-12.70%,,,,$120.01,0.06%,$2.04,-98.30%,$121.06,0.93%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.64,-1.28%,,,,$13.63,-0.07%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.18,25.53%,,,,$14.06,-0.85%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$12.50,-38.76%,,,,$12.65,1.20%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,24 Oct 2025,$19.15,2,,,2,$31.19,-38.60%,-38.60%,$19.15,$19.15,$32.19,3.21%,$47.12,51.06%,$56.37,80.74%,AGI,NYSE:AGI
NYSE:AGM,2 Nov 2025,$176.88,4,$217.00,5,3.25,$158.12,11.86%,11.86%,$176.88,$217.00,$238.13,50.60%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,4,$10.04,1.39%,1.39%,$10.18,$11.15,$15.04,49.80%,-$73.72,-834.27%,-$68.01,-777.37%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.06,23.64%,,,,$80.74,-0.39%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.87,19.44%,,,,$8.02,1.91%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$78.96,7.35%,,,,$80.86,2.41%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$56.35,18.54%,,,,$55.44,-1.61%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$10.41,-51.97%,,,,$10.27,-1.34%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$212.37,4.45%,,,,$208.83,-1.67%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
