Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$37.87,7.86%,,,,$35.22,-7.00%,$17.04,-55.01%,$51.20,35.20%,AA,NYSE:AA,-0.665
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.06,-4.66%,,,,$12.56,-3.83%,$5.63,-56.89%,$11.37,-12.92%,AAL,NASDAQ:AAL,-0.762
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$104.27,-36.94%,,,,$97.65,-6.35%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.357
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$74.23,-6.71%,,,,,-100.00%,-$2.00,-102.69%,-$2.00,-102.69%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,24 Oct 2025,$71.01,3,,,2.75,$74.23,-4.34%,-4.34%,$71.01,$71.01,$73.09,-1.54%,-$202.88,-373.32%,-$201.06,-370.87%,ABCB,NYSE:ABCB,-0.152
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.51,11.95%,11.95%,$2.81,$2.94,$2.42,-3.59%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.305
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.45,31.40%,,,,$42.08,-0.87%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.179
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.50,108.37%,,,,$3.41,-2.57%,$35.77,922.08%,$50.70,1348.45%,ACCO,NYSE:ACCO,-0.461
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.35,24.71%,,,,$10.02,-3.19%,$18.29,76.69%,$27.73,167.91%,ACEL,NYSE:ACEL,-0.546
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$90.47,7.52%,,,,$86.77,-4.09%,$387.17,327.95%,$388.21,329.10%,ACGL,NASDAQ:ACGL,-0.710
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.29,5.43%,,,,$8.40,1.33%,$7.18,-13.44%,$7.22,-12.92%,ACHR,NYSE:ACHR,0.211
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$242.00,9.13%,,,,$251.37,3.87%,$555.91,129.71%,$609.23,151.75%,ACN,NYSE:ACN,0.149
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$5.55,93.19%,,,,$4.99,-10.09%,$4.26,-23.32%,$6.67,20.12%,ACVA,NYSE:ACVA,-0.828
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.82,7.37%,,,,$72.53,-1.75%,$89.78,21.62%,$133.34,80.63%,ADC,NYSE:ADC,-0.562
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.32,60.31%,,,,,-100.00%,-$2.00,-725.00%,-$2.00,-725.00%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.92,-4.17%,,,,$8.41,6.19%,$4.00,-49.52%,$26.86,239.15%,ADTN,NASDAQ:ADTN,0.617
NYSE:AEM,24 Oct 2025,$79.48,1,,,1,$164.33,-51.63%,-51.63%,$79.48,$79.48,$156.64,-4.68%,$305.02,85.61%,$365.74,122.57%,AEM,NYSE:AEM,-0.569
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$122.67,-14.64%,,,,$117.31,-4.37%,$3.29,-97.32%,$122.30,-0.30%,AEP,NASDAQ:AEP,-0.839
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.28,-5.71%,,,,$13.76,-3.64%,-$54.22,-479.68%,-$49.79,-448.67%,AES,NYSE:AES,-0.360
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.30,24.48%,,,,$13.98,-2.24%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA,-0.204
NYSE:AG,12 Aug 2025,$7.66,3,,,,$11.65,-34.29%,,,,$10.53,-9.61%,$13.15,12.86%,$19.11,63.99%,AG,NYSE:AG,-0.878
NYSE:AGI,24 Oct 2025,$19.15,2,,,1.75,$32.17,-40.47%,-40.47%,$19.15,$19.15,$30.33,-5.72%,$47.32,47.08%,$56.57,75.86%,AGI,NYSE:AGI,-0.424
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,3.75,$165.30,8.74%,8.74%,$179.75,$219.00,$249.27,50.80%,"-$2,525.60",-1627.89%,"-$2,593.19",-1668.78%,AGM,NYSE:AGM,1.000
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,3,$10.35,-1.64%,-1.64%,$10.18,$11.15,$9.95,-3.86%,-$73.38,-808.97%,-$67.67,-753.78%,AGNC,NASDAQ:AGNC,-0.836
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$87.65,14.35%,,,,$80.88,-7.72%,$28.72,-67.24%,$28.78,-67.17%,AGO,NYSE:AGO,-0.841
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.06,16.63%,,,,$7.94,-1.49%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO,-0.562
