Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:STNE	1	26.37			Buy 147 at $17.58 ~= $2,584	-145.31845140250155	-137.1263494100115
NASDAQ:ASPI	1	14.09			Buy 275 at $9.39 ~= $2,582	0	0
NASDAQ:CRDO	1	245.61			Buy 15 at $163.74 ~= $2,456	0	0
NYSE:CAVA	1	73.74				0	0
NYSE:VTEX	1	6.40			Buy 173 at $4.27 ~= $739	6.734488131219094	7.220965257869454
NASDAQ:CG	1	79.78	2025-11-10	0.35		0	0
NYSE:DHR	1	316.89	2025-09-26	0.3075		251.83841519166967	291.9053088499492
NASDAQ:XP	1	27.93				0	0
NYSE:BLSH	1	68.50				0	0
NYSE:XYL	1	228.01	2025-08-28	0.39		212.3583679616505	216.17048357799106
NYSE:FN	1	673.86				548.9315456788843	576.2812751161009
NYSE:ARX	1	18.98				0	0
NASDAQ:VNDA	1	6.63				14.554891190055018	15.608261749992355
NYSE:TGS	1	43.38			ADR	46347.4216027525	93907.64311159516
NYSE:DEA	1	32.07	2025-11-07	0.50325		83.62083038788886	109.07492812499507
NYSE:NOTE	1	4.68				-10.28397659689326	5.450096315811884
NYSE:FDP	1	56.07	2025-11-12	0.2875		104.19411471637446	132.55219871013665
NYSE:FCN	1	249.27				534.4351675879998	564.5920702065351
NASDAQ:PAX	1	22.42	2025-11-14	0.1505		54.823060531973375	63.963982175551806
NASDAQ:IBEX	1	60.26				71.15843342929861	95.66334640257759
