ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:STNE,7.7223,19.95,16.77,16.83,124387345.80
NASDAQ:ASPI,3.65,14.49,8.11,9.0,56017330.57
NASDAQ:CRDO,29.09,193.5,145.52,163.61,815969295.22
NYSE:CAVA,45.5658,153.34,47.22,48.64,273623021.35
NYSE:VTEX,3.65,6.93,4.01,3.92,9837267.85
NASDAQ:CG,33.02,69.848,53.33,52.43,191250491.05
NYSE:DHR,171.0,258.23,221.21,209.94,770917441.16
NASDAQ:XP,10.82,20.64,18.66,18.61,128045328.98
NYSE:BLSH,38.33,118.0,38.48,45.08,104690500.73
NYSE:XYL,100.4746,154.27,142.73,151.31,178897997.13
NYSE:FN,148.55,498.0,413.32,449.13,360181069.14
NYSE:ARX,11.2,31.18,13.56,12.64,18973666.48
NASDAQ:VNDA,3.8092,5.7,4.35,4.4,2349203.67
NYSE:TGS,19.74,34.37,30.52,28.63,13096703.84
NYSE:DEA,7.79,23.825,21.59,21.37,11816767.44
NYSE:NOTE,0.4031,5.59,2.54,3.06,827436.70
NYSE:FDP,26.5,40.75,35.45,37.29,12420857.04
NYSE:FCN,149.31,208.28,164.99,163.41,50959319.60
NASDAQ:PAX,9.43,16.24,14.73,14.81,9452638.26
NASDAQ:IBEX,19.095,42.99,35.83,36.85,3509055.18
