date,symbol,amount
2025-12-15,NYSE:SITC,1
2025-12-22,NASDAQ:GOOD,0.1
2026-01-23,NASDAQ:GOOD,0.1
2026-02-18,NASDAQ:GOOD,0.1
2026-03-23,NASDAQ:GOOD,0.1
2026-04-24,NASDAQ:GOOD,0.1
2026-05-20,NASDAQ:GOOD,0.1
2025-11-28,NYSE:DD,0.2
2026-03-02,NYSE:DD,0.2
2026-05-15,NYSE:DD,0.2
2026-03-02,NYSE:SEM,0.0625
2026-05-14,NYSE:SEM,0.0625
2026-01-09,NASDAQ:MRVL,0.06
2026-04-10,NASDAQ:MRVL,0.06
2026-02-17,NYSE:HIW,0.5
2026-05-18,NYSE:HIW,0.5
2025-12-11,NYSE:CTO,0.38
2026-03-12,NYSE:CTO,0.38
2026-01-07,NYSE:BDN,0.08
2026-04-02,NYSE:BDN,0.08
2026-01-05,NYSE:HEI,0.12
2025-12-04,NYSE:AAT,0.34
2026-03-05,NYSE:AAT,0.34
2025-12-31,NYSE:ARE,0.72
2026-03-31,NYSE:ARE,0.72
