date,symbol,amount
2025-11-12,NYSE:SEM,0.0625
2026-01-02,NYSE:SFBS,0.38
2025-11-14,NYSE:OBK,0.15
2026-02-13,NYSE:OBK,0.15
2025-11-14,NASDAQ:BFST,0.15
2025-11-03,NASDAQ:HBCP,0.31
2026-02-09,NASDAQ:HBCP,0.31
2025-12-01,NYSE:RF,0.265
2026-03-02,NYSE:RF,0.265
2025-12-15,NYSE:CMA,0.71
2025-12-15,NYSE:PB,0.6
2026-03-13,NYSE:PB,0.6
2025-12-15,NASDAQ:CTBI,0.53
2026-03-13,NASDAQ:CTBI,0.53
2025-11-04,NYSE:BY,0.1
2026-02-03,NYSE:BY,0.12
2025-11-07,NYSE:FCF,0.135
2026-02-06,NYSE:FCF,0.135
2026-02-13,NASDAQ:IBOC,0.73
2025-11-20,NASDAQ:SBSI,0.36
2025-12-31,NYSE:EQBK,0.18
