date,ticker,high,low,open,close,split_coefficient
2025-10-10,NYSE:MFG,6.26,6.09,6.25,6.09,1.0
2025-10-13,NYSE:MFG,6.22,6.16,6.22,6.2,1.0
2025-10-14,NYSE:MFG,6.27,6.13,6.14,6.24,1.0
2025-10-15,NYSE:MFG,6.32,6.2442,6.3,6.28,1.0
2025-10-16,NYSE:MFG,6.37,6.27,6.34,6.28,1.0
2025-10-17,NYSE:MFG,6.24,6.18,6.21,6.23,1.0
2025-10-20,NYSE:MFG,6.52,6.45,6.46,6.47,1.0
2025-10-21,NYSE:MFG,6.5039,6.46,6.46,6.47,1.0
2025-10-22,NYSE:MFG,6.47,6.3706,6.47,6.42,1.0
2025-10-23,NYSE:MFG,6.4472,6.4044,6.43,6.42,1.0
2025-10-24,NYSE:MFG,6.48,6.43,6.48,6.46,1.0
2025-10-27,NYSE:MFG,6.53,6.49,6.51,6.51,1.0
2025-10-28,NYSE:MFG,6.735,6.55,6.55,6.71,1.0
2025-10-29,NYSE:MFG,6.67,6.59,6.64,6.61,1.0
2025-10-30,NYSE:MFG,6.76,6.66,6.69,6.7,1.0
2025-10-31,NYSE:MFG,6.75,6.69,6.69,6.73,1.0
2025-11-03,NYSE:MFG,6.77,6.72,6.75,6.75,1.0
2025-11-04,NYSE:MFG,6.72,6.655,6.66,6.66,1.0
2025-11-05,NYSE:MFG,6.67,6.5812,6.59,6.66,1.0
2025-11-06,NYSE:MFG,6.74,6.67,6.7,6.71,1.0
2025-11-07,NYSE:MFG,6.64,6.53,6.64,6.63,1.0
2025-11-10,NYSE:MFG,6.72,6.64,6.67,6.71,1.0
2025-11-11,NYSE:MFG,6.77,6.61,6.63,6.73,1.0
2025-11-12,NYSE:MFG,6.85,6.7615,6.8,6.8,1.0
2025-11-13,NYSE:MFG,6.87,6.75,6.87,6.79,1.0
2025-11-14,NYSE:MFG,7.11,6.86,6.87,7.05,1.0
2025-11-17,NYSE:MFG,6.89,6.735,6.87,6.78,1.0
2025-11-18,NYSE:MFG,6.586,6.4901,6.57,6.55,1.0
2025-11-19,NYSE:MFG,6.585,6.5,6.52,6.57,1.0
2025-11-20,NYSE:MFG,6.66,6.45,6.64,6.45,1.0
2025-11-21,NYSE:MFG,6.6399,6.54,6.6,6.61,1.0
2025-11-24,NYSE:MFG,6.72,6.605,6.61,6.7,1.0
2025-11-25,NYSE:MFG,6.87,6.73,6.79,6.86,1.0
2025-11-26,NYSE:MFG,7.12,7.0,7.0,7.09,1.0
2025-11-28,NYSE:MFG,7.12,7.06,7.11,7.1,1.0
2025-12-01,NYSE:MFG,7.185,7.0983,7.11,7.16,1.0
2025-12-02,NYSE:MFG,7.32,7.25,7.29,7.26,1.0
2025-12-03,NYSE:MFG,7.22,7.14,7.16,7.21,1.0
2025-12-04,NYSE:MFG,7.3486,7.2745,7.34,7.28,1.0
2025-12-05,NYSE:MFG,7.39,7.33,7.36,7.35,1.0
2025-12-08,NYSE:MFG,7.32,7.26,7.32,7.28,1.0
2025-12-09,NYSE:MFG,7.32,7.22,7.26,7.26,1.0
2025-12-10,NYSE:MFG,7.34,7.25,7.26,7.3,1.0
2025-12-11,NYSE:MFG,7.35,7.27,7.27,7.35,1.0
2025-12-12,NYSE:MFG,7.385,7.315,7.37,7.37,1.0
2025-12-15,NYSE:MFG,7.64,7.57,7.58,7.59,1.0
2025-12-16,NYSE:MFG,7.45,7.34,7.36,7.38,1.0
2025-12-17,NYSE:MFG,7.35,7.23,7.33,7.23,1.0
2025-12-18,NYSE:MFG,7.32,7.255,7.3,7.26,1.0
2025-12-19,NYSE:MFG,7.36,7.27,7.29,7.31,1.0
2025-12-22,NYSE:MFG,7.365,7.3,7.3,7.36,1.0
2025-12-23,NYSE:MFG,7.51,7.44,7.44,7.46,1.0
2025-12-24,NYSE:MFG,7.44,7.37,7.39,7.42,1.0
2025-12-26,NYSE:MFG,7.33,7.28,7.33,7.32,1.0
2025-12-29,NYSE:MFG,7.36,7.31,7.35,7.34,1.0
2025-12-30,NYSE:MFG,7.4299,7.35,7.37,7.36,1.0
2025-12-31,NYSE:MFG,7.36,7.315,7.36,7.32,1.0
2026-01-02,NYSE:MFG,7.4299,7.3545,7.41,7.41,1.0
2026-01-05,NYSE:MFG,7.64,7.51,7.52,7.62,1.0
2026-01-06,NYSE:MFG,7.9379,7.76,7.83,7.77,1.0
2026-01-07,NYSE:MFG,7.85,7.76,7.8,7.78,1.0
2026-01-08,NYSE:MFG,7.87,7.79,7.79,7.85,1.0
2026-01-09,NYSE:MFG,8.0372,7.85,7.94,7.94,1.0
2026-01-12,NYSE:MFG,8.09,7.97,8.0,8.04,1.0
2026-01-13,NYSE:MFG,8.315,8.2,8.24,8.21,1.0
2026-01-14,NYSE:MFG,8.46,8.32,8.43,8.39,1.0
2026-01-15,NYSE:MFG,8.59,8.4822,8.54,8.49,1.0
2026-01-16,NYSE:MFG,8.62,8.55,8.59,8.59,1.0
2026-01-20,NYSE:MFG,8.55,8.4,8.42,8.51,1.0
2026-01-21,NYSE:MFG,8.49,8.29,8.37,8.45,1.0
2026-01-22,NYSE:MFG,8.41,8.35,8.41,8.37,1.0
2026-01-23,NYSE:MFG,8.485452,8.3945,8.42,8.47,1.0
2026-01-26,NYSE:MFG,8.55,8.449,8.48,8.51,1.0
2026-01-27,NYSE:MFG,8.68,8.52,8.57,8.68,1.0
2026-01-28,NYSE:MFG,8.6468,8.555,8.63,8.63,1.0
2026-01-29,NYSE:MFG,8.815,8.59,8.73,8.64,1.0
2026-01-30,NYSE:MFG,8.77,8.485,8.72,8.63,1.0
2026-02-02,NYSE:MFG,8.89,8.59,8.66,8.84,1.0
2026-02-03,NYSE:MFG,8.995,8.76,8.94,8.89,1.0
2026-02-04,NYSE:MFG,9.39,9.2,9.26,9.29,1.0
2026-02-05,NYSE:MFG,9.14,8.9633,9.14,9.0,1.0
2026-02-06,NYSE:MFG,9.6186,9.4,9.4,9.61,1.0
2026-02-09,NYSE:MFG,9.86,9.64,9.73,9.8,1.0
2026-02-10,NYSE:MFG,10.13,9.845,10.05,9.94,1.0
2026-02-11,NYSE:MFG,10.09,9.943,10.09,10.09,1.0
2026-02-12,NYSE:MFG,10.28,9.93,10.23,10.02,1.0
2026-02-13,NYSE:MFG,10.06,9.81,10.01,9.9,1.0
2026-02-17,NYSE:MFG,9.38,9.08,9.17,9.34,1.0
2026-02-18,NYSE:MFG,9.2855,9.17,9.2,9.2,1.0
2026-02-19,NYSE:MFG,9.34,9.2515,9.28,9.32,1.0
2026-02-20,NYSE:MFG,9.37,9.17,9.21,9.35,1.0
2026-02-23,NYSE:MFG,9.45,9.18,9.4,9.19,1.0
2026-02-24,NYSE:MFG,8.985,8.7801,8.83,8.93,1.0
2026-02-25,NYSE:MFG,8.79,8.58,8.63,8.76,1.0
2026-02-26,NYSE:MFG,9.04,8.91,8.99,9.01,1.0
2026-02-27,NYSE:MFG,9.09,8.775,9.02,8.87,1.0
2026-03-02,NYSE:MFG,8.7173,8.43,8.5,8.67,1.0
2026-03-03,NYSE:MFG,8.245,7.93,7.99,8.22,1.0
2026-03-04,NYSE:MFG,8.22,8.09,8.12,8.21,1.0
2026-03-05,NYSE:MFG,8.299,8.03,8.21,8.14,1.0
2026-03-06,NYSE:MFG,8.095,7.92,7.99,8.06,1.0
2026-03-09,NYSE:MFG,8.135,7.8014,7.85,8.11,1.0
2026-03-10,NYSE:MFG,8.465,8.23,8.26,8.28,1.0
2026-03-11,NYSE:MFG,8.06,7.935,8.0,8.02,1.0
2026-03-12,NYSE:MFG,7.82,7.635,7.79,7.72,1.0
2026-03-13,NYSE:MFG,7.7999,7.61,7.77,7.63,1.0
2026-03-16,NYSE:MFG,7.86,7.74,7.74,7.8,1.0
2026-03-17,NYSE:MFG,7.905,7.8,7.88,7.8,1.0
2026-03-18,NYSE:MFG,7.835,7.73,7.81,7.74,1.0
2026-03-19,NYSE:MFG,7.8265,7.61,7.62,7.76,1.0
2026-03-20,NYSE:MFG,7.79,7.54,7.78,7.59,1.0
2026-03-23,NYSE:MFG,7.87,7.69,7.84,7.75,1.0
2026-03-24,NYSE:MFG,7.885,7.7,7.7,7.81,1.0
2026-03-25,NYSE:MFG,8.08,7.9,8.03,7.96,1.0
2026-03-26,NYSE:MFG,7.9,7.76,7.83,7.78,1.0
2026-03-27,NYSE:MFG,7.775,7.6,7.75,7.63,1.0
2026-03-30,NYSE:MFG,7.74,7.58,7.69,7.63,1.0
2026-03-31,NYSE:MFG,7.97,7.705,7.75,7.94,1.0
