Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$36.32,12.46%,,,,$36.86,1.49%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$11.98,3.93%,,,,$11.72,-2.17%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$100.05,-34.28%,,,,$107.30,7.25%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,3,$69.93,-0.97%,-0.97%,$69.25,$77.00,$76.73,9.72%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB
NYSE:ABEV,17 Oct 2025,$2.74,5,$2.90,7,4.25,$2.24,22.51%,22.51%,$2.74,$2.90,$2.28,1.79%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.63,24.98%,,,,$46.96,5.22%,$72.99,63.55%,$91.60,105.23%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.87,88.45%,,,,$3.81,-1.55%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.51,22.81%,,,,$10.62,1.05%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$87.01,11.80%,,,,$90.03,3.47%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$11.66,-25.04%,,,,$14.66,25.73%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$234.67,12.53%,,,,$248.55,5.91%,$547.56,133.33%,$616.42,162.67%,ACN,NYSE:ACN
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.70,23.24%,,,,$8.65,-0.57%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,4,$74.65,6.18%,6.18%,$79.26,$81.90,$76.27,2.17%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.38,35.00%,,,,,-100.00%,-$2.00,-626.32%,-$2.00,-626.32%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$9.32,-18.56%,,,,$9.23,-0.97%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$117.40,-10.81%,,,,$122.28,4.16%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.61,-7.84%,,,,$14.83,1.51%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.75,20.68%,,,,$15.19,2.98%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$14.63,-47.68%,,,,$15.93,8.89%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,,$35.73,-49.64%,,,,$38.55,7.89%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,,$157.01,46.70%,,,,$165.82,5.61%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$9.94,13.20%,,,,$10.40,4.63%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$79.79,25.61%,,,,$80.17,0.48%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.62,23.36%,,,,$7.61,-0.13%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.67,9.13%,,,,$81.48,4.91%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$56.91,17.38%,,,,$56.55,-0.63%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$9.25,-45.95%,,,,$10.99,18.81%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$208.57,6.35%,,,,$217.00,4.04%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.59,-21.58%,,,,$64.23,1.01%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$75.25,8.24%,,,,$74.94,-0.41%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC
NYSE:ALEX,2 Oct 2025,$20.55,4,$21.83,8,4,$16.55,24.14%,24.14%,$20.55,$21.83,$17.09,3.26%,$0.00,-100.00%,$0.00,-100.00%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.95,111.56%,,,,$3.09,4.75%,$0.00,-100.00%,$0.00,-100.00%,ALIT,NYSE:ALIT
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$195.73,-6.64%,,,,$203.23,3.83%,$0.00,-100.00%,$0.00,-100.00%,ALL,NYSE:ALL
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$39.99,3.85%,,,,$40.83,2.10%,$0.00,-100.00%,$0.00,-100.00%,ALLY,NYSE:ALLY
NASDAQ:ALRS,14 Oct 2025,$24.44,3,$25.63,8,3.5,$21.03,16.21%,16.21%,$24.44,$25.63,$22.62,7.56%,$0.00,-100.00%,$0.00,-100.00%,ALRS,NASDAQ:ALRS
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,2.75,$81.41,20.55%,20.55%,$98.14,$99.81,$81.36,-0.06%,$0.00,-100.00%,$0.00,-100.00%,ALSN,NYSE:ALSN
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$2.11,152.61%,,,,$2.18,3.32%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$8.51,1.79%,,,,$8.76,2.94%,$0.00,-100.00%,$0.00,-100.00%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,1.75,$25.68,19.36%,19.36%,$30.65,$30.65,$28.24,9.97%,$0.00,-100.00%,$0.00,-100.00%,AMAL,NASDAQ:AMAL
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,$8.08,32.19%,,,,$8.56,5.94%,$0.00,-100.00%,$0.00,-100.00%,AMBC,NYSE:AMBC
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.78,35.95%,,,,$3.70,-2.12%,$0.00,-100.00%,$0.00,-100.00%,AMBP,NYSE:AMBP
NYSE:AMCR,16 Oct 2025,$10.32,5,$10.37,9,4.75,$8.16,26.44%,26.44%,$10.32,$10.37,$8.03,-1.59%,$0.00,-100.00%,$0.00,-100.00%,AMCR,NYSE:AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,,$4.44,57.52%,,,,$4.90,10.36%,$0.00,-100.00%,$0.00,-100.00%,AMPY,NYSE:AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,,2,,$28.77,-0.21%,,,,$30.36,5.53%,$0.00,-100.00%,$0.00,-100.00%,AMRK,NASDAQ:AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$41.08,11.94%,,,,$40.41,-1.63%,$0.00,-100.00%,$0.00,-100.00%,AMSF,NASDAQ:AMSF
NYSE:AMTB,2 Oct 2025,$21.17,3,$24.00,6,3,$17.82,18.81%,18.81%,$21.17,$24.00,$19.75,10.83%,$0.00,-100.00%,$0.00,-100.00%,AMTB,NYSE:AMTB
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$2.78,14.60%,,,,$2.85,2.52%,$0.00,-100.00%,$0.00,-100.00%,AMTX,NASDAQ:AMTX
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$64.99,33.30%,,,,$65.39,0.62%,$123.68,90.30%,$186.10,186.34%,AMWD,NASDAQ:AMWD
NYSE:AMX,15 May 2025,$18.21,3,,3,,$22.43,-18.81%,,,,$22.00,-1.92%,$0.00,-100.00%,$0.00,-100.00%,AMX,NYSE:AMX
NYSE:ANF,21 Sep 2025,$118.40,3,,1,1.75,$68.84,71.99%,71.99%,$118.40,$118.40,$73.12,6.22%,$128.53,86.70%,$186.98,171.61%,ANF,NYSE:ANF
NYSE:AON,29 Aug 2025,$347.01,2,,,,$345.34,0.48%,,,,$366.67,6.18%,$0.00,-100.00%,$0.00,-100.00%,AON,NYSE:AON
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$22.86,24.61%,,,,$22.84,-0.09%,$0.00,-100.00%,$0.00,-100.00%,APA,NASDAQ:APA
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$253.81,16.74%,,,,$254.18,0.15%,$0.00,-100.00%,$0.00,-100.00%,APD,NYSE:APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$126.43,-35.49%,,,,$130.69,3.37%,$0.00,-100.00%,$0.00,-100.00%,APH,NYSE:APH
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$3.52,-13.49%,,,,$3.55,0.85%,$0.00,-100.00%,$0.00,-100.00%,API,NASDAQ:API
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$37.67,76.24%,,,,$37.98,0.82%,$99.09,163.05%,$122.42,224.97%,APOG,NASDAQ:APOG
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$5.91,3.95%,,,,$6.14,3.89%,$0.00,-100.00%,$0.00,-100.00%,AQN,NYSE:AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,,$30.82,1.58%,,,,$33.03,7.17%,$0.00,-100.00%,$0.00,-100.00%,AR,NYSE:AR
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$7.09,45.37%,,,,$7.25,2.26%,$0.00,-100.00%,$0.00,-100.00%,ARCO,NYSE:ARCO
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$10.68,21.98%,,,,$10.86,1.69%,$0.00,-100.00%,$0.00,-100.00%,ARHS,NASDAQ:ARHS
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$4.00,62.62%,,,,$4.14,3.50%,$0.00,-100.00%,$0.00,-100.00%,ARKO,NASDAQ:ARKO
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,2.5,$26.07,86.69%,86.69%,$48.67,$52.81,$27.82,6.71%,$0.00,-100.00%,$0.00,-100.00%,AROW,NASDAQ:AROW
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$24.38,-3.45%,,,,$26.31,7.92%,$0.00,-100.00%,$0.00,-100.00%,ASB,NYSE:ASB
NYSE:ASH,14 May 2025,$83.18,3,,4,,$48.82,70.39%,,,,$48.88,0.12%,$0.00,-100.00%,$0.00,-100.00%,ASH,NYSE:ASH
NASDAQ:ASML,30 Aug 2025,$871.20,3,,10,,"$1,023.47",-14.88%,,,,"$1,076.58",5.19%,$0.00,-100.00%,$0.00,-100.00%,ASML,NASDAQ:ASML
NYSE:ASR,10 Jul 2025,$344.93,4,,7,,$303.72,13.57%,,,,$318.26,4.79%,$0.00,-100.00%,$0.00,-100.00%,ASR,NYSE:ASR
NYSE:ATI,30 Aug 2025,$63.00,2,,7,,$80.80,-22.03%,,,,$80.77,-0.04%,$0.00,-100.00%,$0.00,-100.00%,ATI,NYSE:ATI
NYSE:AU,20 Aug 2025,$29.75,2,,,,$76.04,-60.87%,,,,$76.79,0.99%,$0.00,-100.00%,$0.00,-100.00%,AU,NYSE:AU
NYSE:AUB,17 Oct 2025,$44.78,5,$41.83,9,4.75,$33.34,25.46%,25.46%,$41.83,$44.78,$36.25,8.73%,$0.00,-100.00%,$0.00,-100.00%,AUB,NYSE:AUB
NYSE:AVB,18 Sep 2025,$217.02,5,,7,,$184.62,17.55%,,,,$190.40,3.13%,$0.00,-100.00%,$0.00,-100.00%,AVB,NYSE:AVB
NASDAQ:AVT,30 Aug 2025,$60.84,5,,1,,$52.28,16.37%,,,,$52.64,0.69%,$0.00,-100.00%,$0.00,-100.00%,AVT,NASDAQ:AVT
NYSE:AVY,30 Aug 2025,$186.52,3,,1,,$159.96,16.60%,,,,$159.28,-0.43%,$0.00,-100.00%,$0.00,-100.00%,AVY,NYSE:AVY
NYSE:AX,2 Oct 2025,$79.40,3,$102.75,7,3.25,$76.16,4.25%,4.25%,$79.40,$102.75,$85.14,11.79%,$0.00,-100.00%,$0.00,-100.00%,AX,NYSE:AX
NYSE:B,12 Aug 2025,$23.69,3,,,,$34.53,-31.40%,,,,$37.32,8.08%,$0.00,-100.00%,$0.00,-100.00%,B,NYSE:B
NYSE:BA,9 Apr 2025,$179.31,5,,9,,$212.13,-15.47%,,,,$220.34,3.87%,$0.00,-100.00%,$0.00,-100.00%,BA,NYSE:BA
NYSE:BABA,20 Aug 2025,$133.65,4,,7,,$163.59,-18.30%,,,,$166.83,1.98%,$0.00,-100.00%,$0.00,-100.00%,BABA,NYSE:BABA
NYSE:BAC,14 Aug 2025,$45.19,3,,6,,$51.05,-11.49%,,,,$50.40,-1.27%,$0.00,-100.00%,$0.00,-100.00%,BAC,NYSE:BAC
