ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:MFG,4.04,6.87,6.23,6.09,14356273.47
NYSE:SEM,11.65,40.98,13.39,13.32,18951988.09
NYSE:NMR,4.86,7.59,7.03,6.73,4853907.99
NYSE:CPF,23.16,33.25,28.15,28.55,4109672.33
NYSE:DB,16.0201,37.86,33.59,34.56,71216416.80
NYSE:FNB,10.88,17.7,15.09,15.26,307731677.07
NASDAQ:FISI,20.97,29.785,25.72,26.25,3483125.93
NYSE:IX,17.75,117.25,24.94,24.41,3395660.99
NYSE:BY,22.63,32.89,26.19,26.41,4578515.56
NYSE:BOH,57.445,82.7,61.13,62.5,29266249.59
NYSE:GBCI,36.76,60.67,43.94,46.2,51770516.06
NASDAQ:WSFS,42.44,62.75,51.34,51.6,15492776.99
NASDAQ:INDB,52.15,77.23,66.23,65.5,22518030.07
NASDAQ:CCB,58.41,119.22,102.0,103.63,13075893.38
NASDAQ:ORRF,25.565,41.99,32.29,32.33,3682339.59
NASDAQ:SYBT,60.75,83.83,66.47,66.63,8312459.43
NASDAQ:EBC,13.51,19.395,18.17,17.82,87316146.76
NYSE:PNC,145.12,216.26,179.4,183.95,517384559.05
NYSEAMERICAN:TMP,54.16,79.01,63.4,63.12,2897088.35
NYSE:CBU,49.44,73.3857,55.63,55.4,12271178.20
