Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:MFG	1	9.77			ADR	0	0
NYSE:SEM	1	20.87	2025-08-13	0.07825	GTC: delete	0	0
NYSE:DB	0.9995689392089844	38.31				0	0
NYSE:RNST	0.9706401824951172	37.90	2025-09-16	0.22		0	0
NYSE:SNV	0.9590510129928589	49.52	2025-09-18	0.3875		0	0
NYSE:LYG	0.9455550312995911	4.80	2025-08-04	0.00825	ADR	0	0
NYSE:MTB	0.9411225914955139	195.23	2025-09-02	1.3875		0	0
NYSE:SFBS	0.9388893246650696	80.00	2025-10-01	0.08375		0	0
NYSE:NWG	0.9360335469245911	15.44	2025-08-08	0.0625	ADR	0	0
NYSE:CADE	0.9237616658210754	38.91	2025-09-15	0.2625		0	0
NYSE:GBCI	0.9111305475234985	46.33	2025-10-07	0.33		0	0
NASDAQ:CASH	0.9040682911872864	76.59	2025-09-10	0.05		0	0
NYSE:CFG	0.9000528454780579	54.17	2025-10-29	0.42		0	0
NYSE:BY	0.896973729133606	28.58	2025-08-05	0.095		0	0
NASDAQ:ABCB	0.8965498208999634	77.75	2025-09-30	0.1875		0	0
NYSE:MCB	0.8832679986953735	82.53	2025-07-28	0		0	0
NASDAQ:RBCAA	0.8776935935020447	75.08	2025-09-19	0.44		0	0
NASDAQ:TBBK	0.8692915439605713	79.37				0	0
NASDAQ:WSFS	0.8655107021331787	55.77	2025-08-08	0.155		0	0
NASDAQ:TRST	0.8559501767158508	38.46	2025-09-05	0.36		0	0
