Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.83,28.33%,28.33%,$40.85,$40.85,$32.68,2.67%,$49.85,56.63%,$98.37,209.06%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.08,-4.81%,,,,$13.65,4.36%,-$55.29,-522.68%,-$50.58,-486.67%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$81.15,-18.98%,-18.98%,$65.75,$65.75,$86.15,6.16%,$94.61,16.59%,$102.83,26.72%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.23,12.11%,12.11%,$2.50,$2.63,$2.30,3.14%,$3.14,40.68%,$3.96,77.62%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$48.26,15.58%,15.58%,$55.78,$58.40,$49.81,3.21%,$74.99,55.38%,$93.08,92.86%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.04,80.52%,,,,$4.25,5.20%,$10.76,166.24%,$19.20,375.29%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.29,6.55%,6.55%,$97.27,$108.00,$94.70,3.74%,$168.16,84.21%,$177.18,94.09%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.50,2.82%,,,,$8.93,5.06%,$9.32,9.63%,$9.36,10.08%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$254.95,3.58%,3.58%,$264.08,$333.45,$268.45,5.30%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.75,-22.15%,-22.15%,$7.59,$7.59,$10.16,4.21%,$19.38,98.82%,$39.54,305.51%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.93,4.14%,,,,$13.52,4.56%,-$56.34,-535.73%,-$52.04,-502.46%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.04,18.35%,,,,$14.96,-0.53%,$53.64,256.67%,$79.70,429.91%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.15,-16.34%,-16.34%,$7.66,$7.66,$9.16,0.11%,$10.97,19.89%,$18.37,100.76%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.19,-44.10%,-44.10%,$18.00,$18.00,$33.31,3.48%,$41.17,27.89%,$50.62,57.26%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$205.35,12.17%,12.17%,$230.34,$230.34,$214.29,4.35%,"-$1,710.93",-933.18%,"-$1,374.78",-769.48%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.37,8.51%,,,,$10.55,1.74%,-$68.85,-763.96%,-$68.49,-760.51%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.18,21.96%,,,,$85.23,3.71%,$54.00,-34.29%,$54.10,-34.17%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.28,13.53%,13.53%,$9.40,$9.55,$8.50,2.66%,$23.09,178.90%,$53.46,545.68%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$79.21,7.01%,,,,$83.68,5.64%,-$50.12,-163.28%,$16.82,-78.77%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.32,7.19%,7.19%,$66.80,$77.61,$61.92,-0.64%,$64.01,2.72%,$90.50,45.22%,AIN
