Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:BTI	0.9877311587333679	61.64	2025-10-03	0.6005	Buy 70 at $56.48 ~= $3,954; ADR	0	0
NYSE:SEM	0.9394621849060059	14.16	2025-08-13	0.07825		-0.8446233332403325	11.928257336706931
NYSE:RELX	0.9355073571205139	50.53	2025-08-08	0.16075	ADR	0	0
NYSE:HUYA	0.9267804026603699	4.02	2025-07-01	0	ADR	1.4406826199127696	1.4406826199127696
NYSE:WPP	0.8873616456985474	28.87	2025-10-10	0.07975	ADR	0	0
NYSE:EVTL	0.8676576614379883	4.84				0.2674650253192669	0.7989971134632751
NYSE:CNI	0.8495477437973022	101.53	2025-09-08	0.86625		100.97636601114317	124.3675552430808
NYSE:STLA	0.8440706133842468	9.48				0	0
NASDAQ:EPIX	0.8428908586502075	0.25	2025-08-25	0		0.7753810046468437	0.7794051050135311
NYSE:ALIT	0.8156305551528931	3.99	2025-09-02	0.03		3.1124005295942756	13.478649681814494
NYSE:ARCO	0.8076779842376709	7.32	2025-09-23	0.06		-4.623907715206116	21.52322785533666
NYSE:VTEX	0.7916306257247925	4.28				6.620711258350163	7.097546904021507
NASDAQ:SNY	0.7891646027565002	49.12			ADR	78.07786235400388	81.21265480007717
NYSE:EDN	0.7772677540779114	19.82			ADR	-40.00309785818222	-17.31585252839099
NASDAQ:BTDR	0.7722374796867371	13.53				10.959409096463242	15.157066700578344
NYSE:PCG	0.7710649371147156	15.75	2025-06-30	0.00875		-25.142660886881988	-6.955677044505488
NASDAQ:MRX	0.7627773284912109	37.61	2025-08-26	0.1075		0	0
NYSE:ETR	0.7569262385368347	91.93	2025-08-13	0.595		-14.892814808533487	37.48580766088562
NYSE:GIB	0.751645028591156	101.41	2025-08-15	0.1125		204.91638670665412	264.5875829532087
NYSE:UL	0.7426106333732605	66.90	2025-08-15	0.458	ADR	0	0
