date,ticker,high,low,open,close,split_coefficient
2025-09-11,NYSE:HUYA,3.445,3.3,3.33,3.44,1.0
2025-09-12,NYSE:HUYA,3.55,3.41,3.45,3.51,1.0
2025-09-15,NYSE:HUYA,3.53,3.45,3.48,3.51,1.0
2025-09-16,NYSE:HUYA,3.48,3.305,3.45,3.37,1.0
2025-09-17,NYSE:HUYA,3.55,3.41,3.41,3.54,1.0
2025-09-18,NYSE:HUYA,3.52,3.45,3.52,3.51,1.0
2025-09-19,NYSE:HUYA,3.565,3.43,3.53,3.46,1.0
2025-09-22,NYSE:HUYA,3.475,3.36,3.43,3.4,1.0
2025-09-23,NYSE:HUYA,3.4186,3.32,3.39,3.35,1.0
2025-09-24,NYSE:HUYA,3.44,3.34,3.44,3.38,1.0
2025-09-25,NYSE:HUYA,3.47,3.35,3.43,3.47,1.0
2025-09-26,NYSE:HUYA,3.43,3.33,3.43,3.37,1.0
2025-09-29,NYSE:HUYA,3.39,3.26,3.37,3.33,1.0
2025-09-30,NYSE:HUYA,3.405,3.3,3.32,3.33,1.0
2025-10-01,NYSE:HUYA,3.3,3.21,3.27,3.23,1.0
2025-10-02,NYSE:HUYA,3.29,3.24,3.25,3.28,1.0
2025-10-03,NYSE:HUYA,3.395,3.28,3.32,3.28,1.0
2025-10-06,NYSE:HUYA,3.3,3.24,3.27,3.26,1.0
2025-10-07,NYSE:HUYA,3.27,3.21,3.27,3.24,1.0
2025-10-08,NYSE:HUYA,3.27,3.18,3.25,3.21,1.0
2025-10-09,NYSE:HUYA,3.2247,3.14,3.2,3.19,1.0
2025-10-10,NYSE:HUYA,3.202,3.0327,3.18,3.04,1.0
2025-10-13,NYSE:HUYA,3.15,3.08,3.08,3.1,1.0
2025-10-14,NYSE:HUYA,3.06,2.94,3.04,2.99,1.0
2025-10-15,NYSE:HUYA,3.02,2.935,3.01,2.96,1.0
2025-10-16,NYSE:HUYA,2.98,2.905,2.98,2.91,1.0
2025-10-17,NYSE:HUYA,2.92,2.8527,2.88,2.9,1.0
2025-10-20,NYSE:HUYA,2.9988,2.91,2.91,2.95,1.0
2025-10-21,NYSE:HUYA,3.03,2.96,2.97,2.99,1.0
2025-10-22,NYSE:HUYA,3.13,2.99,2.99,3.03,1.0
2025-10-23,NYSE:HUYA,3.08,3.03,3.03,3.05,1.0
2025-10-24,NYSE:HUYA,3.09,3.04,3.06,3.05,1.0
2025-10-27,NYSE:HUYA,3.07,2.91,3.07,2.95,1.0
2025-10-28,NYSE:HUYA,2.94,2.81,2.94,2.85,1.0
2025-10-29,NYSE:HUYA,2.83,2.75,2.82,2.81,1.0
2025-10-30,NYSE:HUYA,2.8,2.68,2.78,2.71,1.0
2025-10-31,NYSE:HUYA,2.775,2.715,2.74,2.75,1.0
2025-11-03,NYSE:HUYA,2.85,2.75,2.77,2.79,1.0
2025-11-04,NYSE:HUYA,2.75,2.65,2.75,2.67,1.0
2025-11-05,NYSE:HUYA,2.8,2.73,2.8,2.74,1.0
2025-11-06,NYSE:HUYA,2.78,2.705,2.78,2.72,1.0
2025-11-07,NYSE:HUYA,2.72,2.59,2.68,2.71,1.0
2025-11-10,NYSE:HUYA,2.83,2.73,2.73,2.78,1.0
2025-11-11,NYSE:HUYA,2.84,2.75,2.79,2.8,1.0
2025-11-12,NYSE:HUYA,2.93,2.65,2.88,2.68,1.0
2025-11-13,NYSE:HUYA,2.78,2.7,2.72,2.75,1.0
2025-11-14,NYSE:HUYA,2.755,2.65,2.7,2.69,1.0
2025-11-17,NYSE:HUYA,2.75,2.64,2.64,2.69,1.0
2025-11-18,NYSE:HUYA,2.795,2.665,2.69,2.76,1.0
2025-11-19,NYSE:HUYA,2.82,2.66,2.69,2.69,1.0
2025-11-20,NYSE:HUYA,2.785,2.63,2.69,2.63,1.0
2025-11-21,NYSE:HUYA,2.67,2.61,2.61,2.64,1.0
2025-11-24,NYSE:HUYA,2.775,2.62,2.62,2.75,1.0
2025-11-25,NYSE:HUYA,2.83,2.735,2.75,2.8,1.0
2025-11-26,NYSE:HUYA,2.915,2.83,2.83,2.85,1.0
2025-11-28,NYSE:HUYA,2.95,2.85,2.86,2.85,1.0
2025-12-01,NYSE:HUYA,2.92,2.8,2.88,2.81,1.0
2025-12-02,NYSE:HUYA,2.8263,2.77,2.82,2.77,1.0
2025-12-03,NYSE:HUYA,2.79,2.75,2.75,2.77,1.0
2025-12-04,NYSE:HUYA,2.81,2.77,2.77,2.8,1.0
2025-12-05,NYSE:HUYA,3.05,2.82,2.85,2.97,1.0
2025-12-08,NYSE:HUYA,3.29,3.0,3.0,3.18,1.0
2025-12-09,NYSE:HUYA,3.235,3.09,3.14,3.11,1.0
2025-12-10,NYSE:HUYA,3.38,3.12,3.13,3.32,1.0
2025-12-11,NYSE:HUYA,3.32,3.2,3.31,3.23,1.0
