date,symbol,amount
2025-11-12,NYSE:SEM,0.0625
2025-10-03,NYSE:BTI,0.749068
2025-12-30,NYSE:BTI,0.749068
2025-11-21,NYSE:NGG,1.0657
2025-10-16,NYSE:AIV,2.23
2025-10-09,NYSE:UDR,0.43
2026-01-12,NYSE:UDR,0.43
2025-11-14,NYSE:EQNR,0.37
2026-02-17,NYSE:EQNR,0.37
2025-09-30,NYSE:TTE,1.006757
2025-09-30,NYSE:SMFG,0.299931
2025-11-17,NYSE:FTS,0.456152
2025-12-26,NYSE:PBR,0.243115
2025-11-14,NYSE:BP,0.4992
2025-09-18,NYSE:SGHC,0.04
2025-12-15,NYSE:SGHC,0.04
2025-09-29,NASDAQ:ERIC,0.151491
2025-12-01,NYSE:CPA,1.61
