Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol"
NYSE:AA,17 Aug 2025,$40.85,3,,,,$33.65,21.39%,,,,$33.84,0.56%,$54.56,62.13%,$82.58,145.42%,AA,NYSE:AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.36,0.74%,,,,$13.22,6.96%,-$54.89,-544.06%,-$50.17,-505.92%,AAL,NASDAQ:AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$83.08,-20.86%,-20.86%,$65.75,$65.75,$85.70,3.15%,$96.15,15.73%,$104.54,25.83%,AAON,NASDAQ:AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.34,6.84%,6.84%,$2.50,$2.63,$2.32,-0.85%,$3.22,37.51%,$4.05,73.09%,ABEV,NYSE:ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.50,22.59%,22.59%,$55.78,$58.40,$47.13,3.58%,$74.00,62.64%,$92.58,103.48%,ABM,NYSE:ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.99,82.78%,,,,$4.00,0.25%,$11.01,176.04%,$19.55,389.95%,ACCO,NYSE:ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$87.86,10.71%,10.71%,$97.27,$108.00,$92.92,5.76%,$173.70,97.70%,$182.92,108.19%,ACGL,NASDAQ:ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.96,-2.46%,,,,$9.70,8.26%,$9.57,6.77%,$9.60,7.20%,ACHR,NYSE:ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$236.52,11.65%,11.65%,$264.08,$333.45,$246.71,4.31%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.35,46.57%,,,,,-100.00%,-$2.00,-671.43%,-$2.00,-671.43%,ADIL,NASDAQ:ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.24,-17.86%,-17.86%,$7.59,$7.59,$10.69,15.69%,$20.16,118.20%,$40.73,340.80%,ADTN,NASDAQ:ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.94,4.06%,,,,$12.93,-0.08%,-$56.41,-535.95%,-$52.09,-502.59%,AES,NYSE:AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.70,13.38%,,,,$15.76,0.38%,$55.28,252.08%,$81.90,421.64%,AFYA,NASDAQ:AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,,$10.77,-28.92%,,,,$10.35,-3.90%,$12.43,15.38%,$19.95,85.23%,AG,NYSE:AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.84,-45.20%,-45.20%,$18.00,$18.00,$33.60,2.31%,$42.11,28.23%,$51.29,56.18%,AGI,NYSE:AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$190.67,20.80%,20.80%,$230.34,$230.34,$199.88,4.83%,"-$1,689.75",-986.22%,"-$1,345.68",-805.76%,AGM,NYSE:AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.18,10.53%,,,,$10.16,-0.20%,-$68.03,-768.30%,-$67.68,-764.82%,AGNC,NASDAQ:AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.91,23.87%,,,,$81.72,1.00%,$56.80,-29.80%,$56.90,-29.68%,AGO,NYSE:AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.12,15.76%,15.76%,$9.40,$9.55,$8.06,-0.74%,$23.18,185.49%,$53.87,563.48%,AGRO,NYSE:AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.22,11.20%,,,,$77.68,1.92%,-$49.34,-164.73%,$18.29,-76.00%,AIG,NYSE:AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$58.48,14.23%,,,,$57.20,-2.19%,$60.01,2.62%,$86.78,48.39%,AIN,NYSE:AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$5.90,-15.25%,-15.25%,$5.00,$6.69,$6.42,8.81%,$7.94,34.57%,$9.97,68.92%,AIRS,NASDAQ:AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$206.89,7.22%,7.22%,$221.82,$239.50,$219.51,6.10%,-$168.33,-181.36%,-$121.52,-158.74%,AIZ,NYSE:AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.51,-21.48%,,,,$64.70,1.87%,-$216.25,-440.49%,-$147.30,-331.94%,AL,NYSE:AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$77.53,5.06%,5.06%,$81.45,$81.45,$77.88,0.45%,$118.12,52.36%,$166.76,115.09%,ALC,NYSE:ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$18.16,1.27%,,,,$19.03,4.79%,$22.24,22.49%,$32.27,77.69%,ALEX,NYSE:ALEX
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,2.5,$3.54,76.30%,76.30%,$6.24,$6.75,$3.77,6.50%,$3.05,-13.97%,$13.47,280.47%,ALIT,NYSE:ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$42.94,-3.28%,,,,$43.82,2.05%,-$437.84,-1119.66%,-$459.47,-1170.02%,ALLY,NYSE:ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.33,-3.72%,,,,$23.25,4.12%,-$148.47,-764.90%,-$142.69,-739.02%,ALRS,NASDAQ:ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$3.88,37.37%,,,,$3.92,1.03%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.07,7.34%,7.34%,$8.66,$8.66,$8.00,-0.87%,$5.03,-37.61%,$6.54,-18.94%,ALVO,NASDAQ:ALVO
NASDAQ:AMAL,2 Sep 2025,$30.79,3,$33.33,1,1.75,$27.97,10.08%,10.08%,$30.79,$33.33,$29.27,4.65%,-$163.91,-686.03%,-$162.51,-681.03%,AMAL,NASDAQ:AMAL
NYSE:AMBC,3 Sep 2025,$10.68,3,$12.50,2,2,$8.74,22.21%,22.21%,$10.68,$12.50,$8.81,0.80%,-$113.38,-1397.27%,-$99.48,-1238.25%,AMBC,NYSE:AMBC
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.57,23.53%,23.53%,$4.41,$5.14,$3.71,3.92%,$7.36,106.22%,$17.74,397.05%,AMBP,NYSE:AMBP
NYSE:AMCR,5 Sep 2025,$10.29,5,$10.77,8,4.5,$8.30,24.00%,24.00%,$10.29,$10.77,$8.58,3.37%,$10.49,26.44%,$15.55,87.34%,AMCR,NYSE:AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$4.07,71.84%,71.84%,$6.99,$6.99,$4.16,2.21%,$25.72,531.84%,$67.70,1563.39%,AMPY,NYSE:AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$27.56,4.17%,4.17%,$28.71,$43.50,$28.11,2.00%,$57.66,109.22%,$67.60,145.27%,AMRK,NASDAQ:AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,3,$43.27,6.28%,6.28%,$45.99,$45.99,$45.52,5.20%,$21.41,-50.52%,$22.37,-48.31%,AMSF,NASDAQ:AMSF
NASDAQ:AMTX,4 Sep 2025,$3.19,3,$11.17,5,2.75,$2.23,42.87%,42.87%,$3.19,$11.17,$2.15,-3.59%,$11.69,424.10%,$3.50,56.75%,AMTX,NASDAQ:AMTX
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$70.22,0.64%,0.64%,$70.67,$86.63,$70.88,0.94%,$126.49,80.13%,$188.82,168.90%,AMWD,NASDAQ:AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$20.47,-19.25%,,,,$20.41,-0.29%,$937.51,4479.94%,"$2,883.49",13986.44%,AMX,NYSE:AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$85.32,38.82%,38.82%,$118.44,$127.43,$90.54,6.12%,$146.78,72.04%,$205.12,140.41%,ANF,NYSE:ANF
