ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:SEM,11.65,40.98,12.67,12.24,13300952.80
NYSE:TEO,6.43,15.535,7.43,7.11,2444132.80
NASDAQ:CHDN,85.58,150.21,95.83,95.98,63727455.13
NYSE:CAVA,61.9,172.4299,65.53,62.54,262846530.98
NYSE:ETR,73.15,158.07,89.24,90.19,226021883.41
NYSE:CTRA,22.4631,29.95,23.1,24.18,164126350.93
NYSE:HUYA,2.21,6.43,3.4,3.51,5443173.38
NYSE:INVH,29.28,36.75,29.69,29.65,145647881.17
NYSE:CAL,12.09,34.38,14.27,15.6,14109942.00
NYSE:ABM,40.85,59.15,45.81,45.49,31712196.21
NASDAQ:BFST,20.07,30.2978,24.08,24.44,2263801.27
NYSE:BFS,31.25,42.3899,31.85,32.21,2195494.34
NYSE:VIST,31.63,61.67,36.51,35.42,52698989.00
NYSE:BTI,34.17,59.29,53.87,56.03,198857411.01
NYSE:SITC,8.6,60.51,8.78,8.73,12118833.08
NASDAQ:HBCP,39.59,61.07,55.53,55.2,1706805.24
NYSE:ACVA,9.845,23.456,10.33,10.08,42964988.36
NYSE:GTY,26.42,33.85,27.18,28.13,9043725.34
NYSE:FDS,288.84,499.87,295.63,344.43,319965210.61
NASDAQ:LAMR,99.84,139.875,124.23,127.74,79155202.66
