Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$66.33,-38.42%,,,,$67.23,1.36%,$52.66,-20.60%,$85.23,28.49%,AA,NYSE:AA,0.120
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$10.74,15.93%,,,,$10.15,-5.49%,-$24.80,-330.92%,-$16.36,-252.35%,AAL,NASDAQ:AAL,-0.284
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$84.59,-56.92%,,,,$83.04,-1.83%,$95.52,12.92%,$97.98,15.83%,AAOI,NASDAQ:AAOI,-0.039
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$82.75,-0.97%,,,,$84.13,1.67%,$85.88,3.78%,$91.29,10.32%,AAON,NASDAQ:AAON,0.470
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$253.79,-6.24%,,,,$254.80,0.40%,$456.97,80.06%,$471.84,85.92%,AAPL,NASDAQ:AAPL,0.027
NYSE:AAT,30 Mar 2026,$24.40,5,$18.00,3,3.75,$18.41,-2.23%,-2.23%,$18.00,$24.40,$19.33,5.00%,$17.18,-6.66%,$52.95,187.62%,AAT,NYSE:AAT,0.720
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$77.99,-11.21%,,,,,-100.00%,-$2.00,-102.56%,-$2.00,-102.56%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$77.99,-5.85%,,,,$76.57,-1.82%,-$164.73,-311.21%,-$155.84,-299.82%,ABCB,NYSE:ABCB,-0.140
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,3.5,$2.92,6.85%,6.85%,$3.12,$3.23,$2.94,0.68%,$7.13,144.26%,$8.00,173.93%,ABEV,NYSE:ABEV,0.543
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$38.52,44.81%,,,,$38.93,1.06%,$12.58,-67.33%,$30.44,-20.97%,ABM,NYSE:ABM,0.128
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$102.67,18.42%,,,,$106.44,3.67%,$143.32,39.59%,$161.58,57.38%,ABT,NYSE:ABT,0.031
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.00,143.10%,,,,$3.00,0.00%,$0.57,-80.88%,$11.23,274.22%,ACCO,NYSE:ACCO,0.210
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.91,18.30%,,,,$10.79,-1.10%,$10.88,-0.30%,$17.63,61.56%,ACEL,NYSE:ACEL,-0.056
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$95.99,1.34%,,,,$97.51,1.58%,$249.29,159.70%,$258.25,169.03%,ACGL,NASDAQ:ACGL,0.011
NYSE:ACI,26 Mar 2026,$24.11,5,$20.75,8,4.25,$17.04,21.77%,21.77%,$20.75,$24.11,$18.01,5.69%,$43.62,155.99%,$54.21,218.13%,ACI,NYSE:ACI,0.362
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,,$41.01,27.04%,,,,$40.40,-1.49%,$99.63,142.94%,$105.26,156.67%,ACIW,NASDAQ:ACIW,-0.178
NASDAQ:ACLS,18 Mar 2026,$98.97,4,,,3.5,$93.08,6.33%,6.33%,$98.97,$98.97,$101.60,9.15%,$135.42,45.48%,$140.39,50.83%,ACLS,NASDAQ:ACLS,0.345
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,,$39.35,9.91%,,,,$38.20,-2.92%,$53.33,35.53%,$59.47,51.14%,ACMR,NASDAQ:ACMR,-0.002
NYSE:ACN,26 Mar 2026,$261.57,3,$259.88,10,4,$198.29,31.06%,31.06%,$259.88,$261.57,$205.31,3.54%,$464.85,134.43%,$500.50,152.41%,ACN,NYSE:ACN,0.559
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$4.24,152.88%,,,,$4.10,-3.30%,$7.15,68.62%,$7.55,77.99%,ACVA,NYSE:ACVA,-0.365
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.38,5.15%,,,,$74.58,-1.06%,$55.72,-26.08%,$88.56,17.49%,ADC,NYSE:ADC,-0.452
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,,$24.03,-13.97%,,,,$25.08,4.37%,$46.32,92.76%,$53.71,123.53%,ADEA,NASDAQ:ADEA,0.111
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,,$318.14,-15.11%,,,,$325.73,2.39%,$379.90,19.41%,$420.84,32.28%,ADI,NASDAQ:ADI,0.631
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$1.79,-71.34%,,,,,-100.00%,-$2.00,-211.73%,-$2.00,-211.73%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,,$203.18,37.76%,,,,$203.86,0.33%,$200.23,-1.45%,$221.60,9.07%,ADP,NASDAQ:ADP,-0.269
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,,$12.58,-19.39%,,,,$13.48,7.15%,$28.10,123.35%,$48.22,283.29%,ADTN,NASDAQ:ADTN,0.524
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$202.98,-60.84%,,,,$189.24,-6.77%,$344.46,69.70%,$401.73,97.92%,AEM,NYSE:AEM,-0.480
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$2.19,247.03%,,,,,-100.00%,-$2.00,-191.32%,-$2.00,-191.32%,AEMD,NASDAQ:AEMD,-2.000
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$131.08,-20.12%,,,,$132.42,1.02%,-$8.65,-106.60%,$55.00,-58.04%,AEP,NASDAQ:AEP,-0.013
NYSE:AER,5 Mar 2026,$119.70,1,,,1.25,$137.18,-12.74%,-12.74%,$119.70,$119.70,$132.94,-3.09%,-$22.72,-116.56%,-$14.10,-110.28%,AER,NYSE:AER,-0.136
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.09,-4.44%,,,,$14.44,2.48%,-$52.50,-472.60%,-$26.90,-290.94%,AES,NYSE:AES,0.267
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.87,19.70%,,,,$15.45,3.90%,$132.57,791.54%,$135.52,811.35%,AFYA,NASDAQ:AFYA,0.470
NYSE:AG,12 Aug 2025,$7.66,3,,,,$21.48,-64.36%,,,,$21.71,1.07%,$42.06,95.81%,$49.53,130.61%,AG,NYSE:AG,0.327
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$44.43,-56.90%,,,,$39.98,-10.02%,$53.02,19.33%,$62.25,40.11%,AGI,NYSE:AGI,-0.487
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$148.35,21.17%,,,,$142.72,-3.80%,"-$2,632.60",-1874.59%,"-$2,651.88",-1887.58%,AGM,NYSE:AGM,-0.305
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$10.03,2.79%,,,,$9.83,-1.99%,-$76.09,-858.59%,-$76.35,-861.26%,AGNC,NASDAQ:AGNC,-0.126
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$81.48,23.00%,,,,$80.14,-1.64%,$11.04,-86.46%,$11.04,-86.46%,AGO,NYSE:AGO,-0.190
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$15.02,-37.42%,,,,$14.64,-2.53%,$26.31,75.18%,$51.59,243.46%,AGRO,NYSE:AGRO,-0.402
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$11.87,15.16%,,,,$11.84,-0.25%,$19.82,66.97%,$57.42,383.77%,AHCO,NASDAQ:AHCO,0.263
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$75.25,12.64%,,,,$73.26,-2.64%,-$100.95,-234.16%,-$34.41,-145.72%,AIG,NYSE:AIG,-0.463
NASDAQ:AIMD,29 Jan 2026,$2.10,3,,,,$1.39,51.37%,,,,,-100.00%,-$2.00,-243.88%,-$2.00,-243.88%,AIMD,NASDAQ:AIMD,-2.000
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$52.21,27.94%,,,,$52.78,1.09%,$105.13,101.35%,$146.85,181.27%,AIN,NYSE:AIN,0.335
