Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score,🙈 AnalystTargetPrice
NYSE:AA,17 Aug 2025,$40.85,3,,,,$71.53,-42.90%,,,,$67.89,-5.09%,$66.25,-7.38%,$99.28,38.80%,AA,NYSE:AA,-0.882,$67.40
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$10.84,14.86%,,,,$10.44,-3.69%,-$23.48,-316.64%,-$15.03,-238.68%,AAL,NASDAQ:AAL,-0.216,$15.40
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$103.91,-64.93%,,,,$82.37,-20.73%,$101.28,-2.53%,$103.77,-0.13%,AAOI,NASDAQ:AAOI,-0.149,$90.30
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$81.36,0.72%,,,,$85.45,5.03%,$86.01,5.71%,$91.49,12.45%,AAON,NASDAQ:AAON,0.160,$122.75
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$255.92,-7.02%,,,,$260.21,1.68%,$468.94,83.24%,$484.11,89.17%,AAPL,NASDAQ:AAPL,0.032,$295.07
NYSE:AAT,30 Mar 2026,$24.40,5,$18.00,3,4,$18.67,-3.59%,-3.59%,$18.00,$24.40,$19.37,3.75%,$18.19,-2.55%,$54.68,192.90%,AAT,NYSE:AAT,0.567,$18.50
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$78.40,-11.67%,,,,,-100.00%,-$2.00,-102.55%,-$2.00,-102.55%,ABCB,NYSE:ABCB,-2.000,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$78.40,-6.34%,,,,$77.56,-1.07%,-$160.15,-304.27%,-$151.09,-292.72%,ABCB,NYSE:ABCB,-0.257,$89.93
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,3.25,$2.93,6.48%,6.48%,$3.10,$3.23,$3.04,3.75%,$7.31,149.52%,$8.19,179.40%,ABEV,NYSE:ABEV,0.149,$3.10
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$38.72,44.06%,,,,$37.93,-2.04%,$14.16,-63.44%,$32.20,-16.84%,ABM,NYSE:ABM,-0.189,$51.43
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$102.87,18.19%,,,,$101.73,-1.11%,$142.81,38.83%,$161.26,56.76%,ABT,NYSE:ABT,-0.414,$132.28
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$2.88,153.23%,,,,$2.79,-3.13%,$0.77,-73.09%,$11.34,293.67%,ACCO,NYSE:ACCO,-0.735,$7.67
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.04,16.91%,,,,$10.73,-2.81%,$11.25,1.86%,$18.07,63.65%,ACEL,NYSE:ACEL,-0.440,$15.50
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$96.74,0.55%,,,,$96.82,0.08%,$258.04,166.74%,$267.18,176.19%,ACGL,NASDAQ:ACGL,-0.061,$109.32
NYSE:ACI,6 Apr 2026,$20.06,5,$20.75,7,4,$17.45,14.94%,14.94%,$20.06,$22.06,$17.81,2.06%,$44.93,157.47%,$55.54,218.29%,ACI,NYSE:ACI,0.108,$22.06
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,,$41.33,26.06%,,,,$40.08,-3.02%,$102.66,148.40%,$108.38,162.22%,ACIW,NASDAQ:ACIW,-0.255,$64.00
NASDAQ:ACLS,4 Apr 2026,$100.29,3,$92.00,6,3.5,$95.09,-3.25%,-3.25%,$92.00,$100.29,$100.73,5.93%,$133.62,40.52%,$138.64,45.80%,ACLS,NASDAQ:ACLS,0.697,$92.00
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,,$40.54,6.68%,,,,$43.07,6.24%,$54.23,33.76%,$60.50,49.24%,ACMR,NASDAQ:ACMR,0.484,$70.50
NYSE:ACN,1 Apr 2026,$254.86,3,$259.88,9,3.5,$201.33,26.59%,26.59%,$252.00,$259.88,$206.76,2.70%,$478.69,137.77%,$514.89,155.75%,ACN,NYSE:ACN,0.379,$252.00
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$4.36,145.92%,,,,$4.12,-5.50%,$7.43,70.36%,$7.82,79.47%,ACVA,NYSE:ACVA,-0.513,$9.12
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$76.61,3.46%,,,,$75.66,-1.24%,$59.02,-22.96%,$92.52,20.77%,ADC,NYSE:ADC,-0.543,$84.25
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,,$25.07,-17.53%,,,,$25.67,2.39%,$47.23,88.38%,$54.72,118.29%,ADEA,NASDAQ:ADEA,0.038,$33.00
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,,$318.34,-15.16%,,,,$333.10,4.64%,$391.85,23.09%,$433.21,36.08%,ADI,NASDAQ:ADI,0.592,$386.59
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$1.69,-69.64%,,,,,-100.00%,-$2.00,-218.34%,-$2.00,-218.34%,ADIL,NASDAQ:ADIL,-2.000,
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,,$204.01,37.20%,,,,$199.77,-2.08%,$206.80,1.37%,$228.60,12.05%,ADP,NASDAQ:ADP,-0.379,$264.40
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,,$12.88,-21.27%,,,,$13.41,4.11%,$28.56,121.75%,$49.07,281.00%,ADTN,NASDAQ:ADTN,0.555,$14.00
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$208.54,-61.89%,,,,$197.12,-5.48%,$363.20,74.16%,$421.63,102.18%,AEM,NYSE:AEM,-0.609,$254.00
