Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:TASK	1	9.92	2026-03-26	0		23.596877395208054	54.928418222778745	2.8787	12.17
NYSE:DD	1	71.75	2026-03-02	0.3575	Buy 212 at $47.83 ~= $10,140	67.84720449013022	49.22132469628148	-1.9050	55.79
NYSE:ELME	1	3.21				-1.4944599186429381	6.2044803244785065	-1.7349	18.00
NASDAQ:JBIO	0.8003554344177246	19.38				0	0	-2.5835	28.71
NASDAQ:ADTN	0.5865493416786194	15.79			Buy 665 at $15.25 ~= $10,141	30.86916571157431	51.45499809559093	-0.5658	14.67
NASDAQ:NFLX	0.5636403560638428	106.60			Buy 98 at $103.08 ~= $10,102	129.6107030602565	208.04426560971308	2.5915	113.79
NASDAQ:EBAY	0.5464544296264648	99.00	2026-03-06	0.29	Buy 106 at $95.80 ~= $10,155	125.88457046019765	139.1456005604449	4.5335	99.10
NASDAQ:LFST	0.5339228510856628	6.70				9.152169771514648	11.136345198251414	0.0252	9.83
NASDAQ:BTSG	0.5123589634895325	47.85			Buy 107 at $46.37 ~= $4,962	63.17704788057163	74.63240856299575	0.9926	52.60
NASDAQ:IBKR	0.5029423832893372	74.56	2026-02-27	0.07575		-59.82965673134197	-56.039176710329855	2.2082	78.30
NYSE:FVR	0.4964739978313446	17.26	2026-03-31	0.215		0	0	-0.1716	17.44
NASDAQ:STLD	0.4951550364494324	200.68	2026-03-31	0.5		176.35962139311133	215.492299308999	8.1922	188.25
NASDAQ:MLKN	0.48701730370521545	15.96	2026-02-27	0.1875		4.056004734823182	25.20913067674132	0.1580	32.00
NASDAQ:SWBI	0.48602294921875	15.31	2026-03-19	0.13		22.667211883854222	29.467588266634234	0.2696	15.00
NASDAQ:ROST	0.4794517159461975	231.74	2026-03-13	0.405		393.17606903600046	422.0235636278772	6.6542	229.81
NASDAQ:CENT	0.4757978320121765	38.66				1368.1355204829283	1526.9450215696768	16.1318	46.50
NASDAQ:DASH	0.4671759307384491	160.10				176.8918741218953	208.78257525524603	2.2807	253.70
NASDAQ:VIAV	0.4656056761741638	44.96				44.47760551637	50.604658312663304	-0.1802	30.93
NASDAQ:SCVL	0.45658108592033386	18.58	2026-04-06	0.15	GTC: delete	38.660776401690136	45.17308830200942	1.9028	22.00
NASDAQ:LOPE	0.45585131645202637	173.84				456.08528966982544	482.27371021270886	7.9640	213.00
