Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score,Analyst Target Price,Tip Ranks Difference
NYSE:AA,17 Aug 2025,$40.85,3,,,,$70.38,-41.96%,,,,$73.35,4.22%,$67.83,-3.62%,$100.96,43.44%,AA,NYSE:AA,-0.271,$70.94,
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.17,2.31%,,,,$11.38,-6.49%,-$22.86,-287.85%,-$14.41,-218.38%,AAL,NASDAQ:AAL,-0.070,$14.86,-7.60%
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$142.55,-74.44%,,,,$129.56,-9.11%,$147.98,3.81%,$150.48,5.56%,AAOI,NASDAQ:AAOI,-0.098,$90.30,-57.64%
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$92.60,-11.51%,,,,$96.12,3.80%,$97.84,5.66%,$103.31,11.57%,AAON,NASDAQ:AAON,0.355,$122.75,-3.05%
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$266.43,-10.69%,,,,$261.89,-1.70%,$474.40,78.06%,$489.63,83.78%,AAPL,NASDAQ:AAPL,-0.130,$296.12,1.21%
NYSE:AAT,30 Mar 2026,$24.40,5,$18.00,3,3.75,$20.18,-10.80%,-10.80%,$18.00,$24.40,$20.09,-0.45%,$19.04,-5.64%,$55.67,175.85%,AAT,NYSE:AAT,0.476,$18.50,-2.70%
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$82.67,-16.23%,,,,,-100.00%,-$2.00,-102.42%,-$2.00,-102.42%,ABCB,NYSE:ABCB,-2.000,,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$82.67,-11.18%,,,,$83.30,0.76%,-$153.95,-286.22%,-$144.91,-275.29%,ABCB,NYSE:ABCB,-0.106,$89.93,
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,3.25,$3.13,-0.32%,-0.32%,$3.12,$3.23,$3.28,4.79%,$7.58,142.23%,$8.46,170.25%,ABEV,NYSE:ABEV,0.013,$3.15,-0.95%
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$39.73,40.40%,,,,$38.92,-2.04%,$14.73,-62.92%,$32.81,-17.43%,ABM,NYSE:ABM,-0.500,$51.43,13.55%
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$101.56,19.71%,,,,$99.09,-2.43%,$140.36,38.20%,$158.84,56.40%,ABT,NYSE:ABT,-0.527,$131.44,12.13%
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.20,127.91%,,,,$3.06,-4.38%,$0.94,-70.52%,$11.53,260.44%,ACCO,NYSE:ACCO,0.039,$7.67,17.34%
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.79,9.47%,,,,$11.49,-2.54%,$11.83,0.34%,$18.66,58.31%,ACEL,NYSE:ACEL,-0.507,$15.50,-3.23%
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$97.47,-0.20%,,,,$96.33,-1.17%,$258.28,164.99%,$267.46,174.40%,ACGL,NASDAQ:ACGL,-0.146,$109.84,-1.68%
NYSE:ACI,6 Apr 2026,$20.06,5,$20.75,7,4,$16.60,20.82%,20.82%,$20.06,$22.06,$17.72,6.75%,$44.93,170.66%,$55.55,234.62%,ACI,NYSE:ACI,0.054,$22.06,-5.94%
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,,$42.48,22.65%,,,,$39.91,-6.05%,$101.52,138.98%,$107.25,152.46%,ACIW,NASDAQ:ACIW,-0.163,$64.00,-1.05%
NASDAQ:ACLS,4 Apr 2026,$100.29,3,$92.00,6,3,$117.88,-21.95%,-21.95%,$92.00,$100.29,$115.93,-1.65%,$148.97,26.37%,$154.00,30.64%,ACLS,NASDAQ:ACLS,0.396,$92.00,0.00%
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,,$49.79,-13.14%,,,,$49.90,0.22%,$61.84,24.20%,$68.14,36.85%,ACMR,NASDAQ:ACMR,0.182,$70.50,-38.65%
