ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:TASK,6.2,18.39,7.42,6.47,4182392.47
NYSE:DD,33.335,83.4,47.35,47.25,135874197.44
NYSE:SITC,5.24,13.095,5.58,5.36,3518218.53
NASDAQ:ABNB,109.79,143.8799,141.55,128.96,428208298.97
NASDAQ:JBIO,2.57,23.335,22.85,17.89,12146510.17
NYSE:FVR,10.81,17.64,17.26,16.48,1777261.88
NYSE:DOW,20.4019,42.74,35.6,39.01,582442894.13
NASDAQ:ARWR,10.92,76.76,69.51,65.14,123768412.25
NASDAQ:VIAV,8.1,44.29,44.135,41.79,235729317.82
NYSE:VIK,36.99,86.24,85.8,77.17,254722763.89
NYSE:ELME,1.98,17.68,2.15,2.12,2092727.73
NYSE:MCK,637.0,999.0,866.38,865.6,578623187.50
NASDAQ:GOOG,148.4,350.15,339.4,315.72,4885717286.53
NYSE:HPE,14.55,26.56,26.44,24.89,347754229.76
NASDAQ:LRCX,61.14,273.5,267.6,263.66,2147516381.12
NASDAQ:GOOGL,146.1,349.0,341.68,317.24,7456677099.56
NASDAQ:MIRM,38.22,109.28,97.95,95.2,55114101.60
NYSE:AAT,17.72,21.395,20.81,19.42,6467932.79
NASDAQ:ERAS,1.06,19.78,19.01,17.01,88558644.74
NASDAQ:BBIO,31.77,84.94,76.75,74.59,121433831.09
