date,symbol,amount
2026-08-17,NASDAQ:VISN,10
2026-08-28,NASDAQ:VISN,5
2026-08-28,NYSE:DD,0.35
2026-08-31,NYSE:DD,0.6
2026-08-03,NYSE:SITC,1
2026-08-05,NYSE:SAR,0.25
2026-08-14,NYSE:SAR,0.469
2026-09-03,NYSE:SAR,0.25
2026-08-14,NYSE:PNNT,0.08
2026-09-16,NASDAQ:TCPC,0.17
2026-08-31,NYSE:BIP,0.455
2026-08-19,NASDAQ:SPOK,0.3125
2026-08-17,NASDAQ:OXSQ,0.035
2026-09-16,NASDAQ:OXSQ,0.035
2026-10-16,NASDAQ:OXSQ,0.035
2026-11-16,NASDAQ:OXSQ,0.035
2026-12-17,NASDAQ:OXSQ,0.035
2026-08-19,NYSE:CHCT,0.33
2026-08-03,NASDAQ:DMLP,1.272943
2026-09-30,NYSE:BGS,0.095
2026-08-31,NYSE:ORC,0.1
2026-09-30,NASDAQ:XRX,0.025
2026-08-17,NYSE:KRP,0.47
2026-09-10,NYSE:NAT,0.27
2026-09-16,NASDAQ:NMFC,0.25
2026-08-31,NASDAQ:AGNC,0.12
2026-09-10,NYSE:TU,0.134419
2026-08-14,NASDAQ:TRIN,0.17
2026-09-10,NASDAQ:TRIN,0.17
2026-09-16,NYSE:FSK,0.44
2026-09-08,NASDAQ:MFIC,0.31
2026-08-17,NASDAQ:RWAY,0.33
2026-08-31,NYSE:SCM,0.0833
2026-08-17,NYSE:DOC,0.10167
2026-08-21,NYSE:DX,0.17
2026-08-17,NYSE:ARR,0.24
2026-09-15,NYSE:ARR,0.24
2026-08-31,NYSE:EARN,0.08
2026-09-15,NASDAQ:ARCC,0.48
2026-09-15,NYSE:TDS,0.04
2026-08-17,NYSE:DHT,1.22
2026-08-14,NASDAQ:CSWC,0.1934
2026-10-15,NASDAQ:CSWC,0.1934
2026-11-13,NASDAQ:CSWC,0.1934
2026-12-15,NASDAQ:CSWC,0.2534
2026-08-17,NYSE:MNR,0.36
2026-09-15,NASDAQ:OCSL,0.33
2026-08-21,NYSE:ACCO,0.075
2026-09-22,NASDAQ:ADAM,0.3
2026-08-07,NASDAQ:RELL,0.06
2026-09-15,NYSE:VTS,0.4375
2026-09-11,NASDAQ:SLRC,0.31
2026-09-04,NYSE:ORI,0.315
2026-08-17,NYSE:APAM,0.8
2026-09-10,NYSE:CTO,0.38
2026-09-15,NYSE:TSLX,0.42
2026-09-15,NYSE:IRM,0.864
2026-08-31,NASDAQ:CCAP,0.03
2026-09-30,NASDAQ:CCAP,0.34
2026-09-02,NYSE:BBDC,0.26
2026-09-30,NYSE:ACRE,0.15
2026-09-30,NYSE:TTE,1.038892
2026-08-06,NYSE:BWMX,0.3613
2026-08-31,NYSE:EFC,0.13
2026-08-14,NASDAQ:TPG,0.59
2026-09-10,NYSE:PINE,0.32
2026-09-15,NYSE:NXRT,0.53
2026-08-14,NYSE:PFLT,0.0833
2026-09-01,NYSE:NTST,0.225
2026-09-30,NASDAQ:CGBD,0.35
2026-08-10,NYSE:OMF,1.05
2026-08-17,NYSE:CNA,0.48
2026-08-17,NYSE:GNK,0.8
2026-08-31,NYSE:EPR,0.31
2026-08-17,NASDAQ:HRZN,0.09
2026-09-15,NASDAQ:FDUS,0.57
2026-09-30,NYSE:KBDC,0.4
