Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:AIV	0.7737208604812622	2.80	2026-06-04	0		-5.718565835104901	-3.902166369586865	3.8511	7.00
NYSE:ELME	0.7729671597480774	1.73				0	0	-1.7349	18.00
NYSE:AD	0.767273485660553	36.91	2026-06-11	0	GTC: delete	20.425334576083763	55.397225362454094	8.4279	46.34
NYSE:NLOP	0.7632524371147156	12.46				0	0	-2.6472	46.00
NASDAQ:VISN	0.7520595192909241	11.68				0	0	-0.1410	17.33
NYSE:NAT	0.5472664833068848	6.55	2026-06-10	0.155	Buy 1626 at $6.34 ~= $10,309	8.621294681240832	11.21185160759851	0.2565	6.00
NYSE:SITC	0.5300033688545227	3.40	2026-08-03	0	GTC: delete	0	0	2.4623	3.50
NYSE:DD	0.5203492045402527	154.25	2026-08-31	0.7575	Buy 69 at $149.42 ~= $10,310	0	0	-0.6516	169.50
NASDAQ:IEP	0.4523329734802246	7.92	2026-05-18	0.5	Buy 142 at $7.69 ~= $1,092; Withholding Tax: 10%	0	0	-0.2411	12.00
NYSE:BXMT	0.4057200253009796	14.48	2026-06-30	0.47		-57.01254655360152	-57.89752771871257	0.0916	19.19
NYSE:BGS	0.38033467531204224	3.64	2026-09-30	0.19		-9.036600738820264	7.882089023089757	-0.9442	4.80
NYSE:BDN	0.3576878309249878	3.37	2026-07-08	0.08		-8.23040456995928	1.9142393951361614	-0.8301	3.00
NYSE:PINE	0.3553282916545868	20.75	2026-09-10	0.2925		0.20143121546062165	13.231938239358792	0.3037	21.73
NYSE:KREF	0.3338903784751892	7.74	2026-06-30	0.2125		-63.6930897868348	-60.94308385048733	-2.8765	7.17
NASDAQ:REFI	0.3328717052936554	10.36	2026-06-30	0.47		12.793113837639654	34.782256630134526	1.4455	16.38
NASDAQ:SEVN	0.33119237422943115	8.03	2026-07-20	0.28		-2.379929460773384	-3.055526002515595	0.5183	9.55
NYSE:SAR	0.3311021327972412	20.30	2026-09-03	0.75		86.77922980134691	2930.4264368410923	1.0274	21.20
