Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",Score,Analyst Target Price,Tip Ranks Difference
NYSE:AA,23 Jun 2026,$55.51,3,$78.71,7,1.32,$49.39,12.40%,,,,$51.31,3.89%,$88.08,78.34%,$94.05,90.43%,AA,NYSE:AA,-0.609,$62.98,24.98%
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,1.16,$13.63,-8.65%,,,,$13.50,-0.95%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL,-0.704,$18.93,-27.47%
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,0.93,$107.63,-66.14%,,,,$119.63,11.15%,$0.00,-100.00%,$0.00,-100.00%,AAOI,NASDAQ:AAOI,-0.807,$163.40,-76.59%
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,0.81,$76.10,7.68%,,,,$76.83,0.96%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.863,$143.00,-16.78%
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,0.87,$310.34,-23.33%,,,,$302.53,-2.52%,$0.00,-100.00%,$0.00,-100.00%,AAPL,NASDAQ:AAPL,-0.756,$324.45,-7.63%
NYSE:AAT,22 Apr 2026,$25.97,5,$19.00,3,2.20,$23.00,-17.39%,,,,$22.91,-0.39%,$0.00,-100.00%,$0.00,-100.00%,AAT,NYSE:AAT,-0.162,$23.50,-19.15%
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$85.95,-19.43%,,,,,-100.00%,-$2.00,-102.33%,-$2.00,-102.33%,ABCB,NYSE:ABCB,-2.000,,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,1.38,$85.95,-14.57%,,,,$85.45,-0.58%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.539,$94.17,
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,1.87,$2.92,6.85%,,,,$2.84,-2.74%,$5.26,80.13%,$6.31,116.11%,ABEV,NYSE:ABEV,-0.335,$3.34,-6.59%
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,1.37,$46.86,19.04%,,,,$46.59,-0.58%,$2.59,-94.48%,$22.20,-52.63%,ABM,NYSE:ABM,-0.552,$52.43,11.39%
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,1.01,$116.67,4.21%,,,,$112.27,-3.77%,$0.00,-100.00%,$0.00,-100.00%,ABT,NYSE:ABT,-0.689,$120.20,22.61%
NYSE:ACCO,28 Apr 2026,$4.93,5,$7.00,6,2.06,$4.19,17.77%,,,,$4.20,0.24%,$11.11,165.27%,$21.24,406.93%,ACCO,NYSE:ACCO,-0.306,$8.00,-12.50%
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,1.34,$11.97,7.83%,,,,$11.55,-3.51%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL,-0.603,$15.57,-3.66%
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,1.91,$101.14,-3.82%,,,,$99.83,-1.30%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL,-0.307,$111.87,-3.46%
NYSE:ACI,21 May 2026,$24.29,3,$22.00,6,1.62,$12.61,74.46%,,,,$11.99,-4.92%,$0.00,-100.00%,$0.00,-100.00%,ACI,NYSE:ACI,-0.439,$14.19,55.04%
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,1.20,$52.41,-0.59%,,,,$50.85,-2.98%,$0.00,-100.00%,$0.00,-100.00%,ACIW,NASDAQ:ACIW,-0.665,$67.33,-5.94%
NASDAQ:ACLS,27 May 2026,$130.64,2,$167.25,8,1.57,$123.49,5.79%,,,,$121.76,-1.40%,$0.00,-100.00%,$0.00,-100.00%,ACLS,NASDAQ:ACLS,-0.503,$161.00,3.88%
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,0.66,$77.35,-44.09%,,,,$73.49,-4.99%,$0.00,-100.00%,$0.00,-100.00%,ACMR,NASDAQ:ACMR,-0.927,$115.14,-62.44%
NYSE:ACN,24 May 2026,$244.46,3,$254.70,8,0.70,$186.53,31.06%,,,,$176.58,-5.33%,$424.79,127.73%,$470.06,152.00%,ACN,NYSE:ACN,-0.813,$179.11,42.20%
NYSE:ACVA,18 Sep 2025,$10.72,3,,,1.18,$7.47,43.53%,,,,$7.32,-2.01%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA,-0.678,$9.77,
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,1.56,$74.58,6.28%,,,,$73.70,-1.18%,$47.69,-36.05%,$78.31,5.01%,ADC,NYSE:ADC,-0.469,$84.86,-3.49%
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,1.53,$26.28,-21.33%,,,,$26.07,-0.80%,$0.00,-100.00%,$0.00,-100.00%,ADEA,NASDAQ:ADEA,-0.543,$43.00,
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,1.36,$371.17,-27.23%,,,,$369.57,-0.43%,$0.00,-100.00%,$0.00,-100.00%,ADI,NASDAQ:ADI,-0.585,$463.22,-37.29%
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$5.40,-90.50%,,,,,-100.00%,-$2.00,-137.04%,-$2.00,-137.04%,ADIL,NASDAQ:ADIL,-2.000,,
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,0.65,$283.01,-1.10%,,,,$270.84,-4.30%,$347.97,22.95%,$369.70,30.63%,ADP,NASDAQ:ADP,-0.846,$287.27,0.53%
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,1.90,$7.71,31.52%,,,,$7.65,-0.78%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN,-0.379,$14.67,-14.79%
