Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$56.81,-28.10%,,,,$55.18,-2.87%,$51.65,-9.09%,$85.53,50.55%,AA,NYSE:AA,-0.736
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.30,-6.38%,,,,$13.00,-2.26%,-$21.57,-262.17%,-$15.15,-213.93%,AAL,NASDAQ:AAL,-0.727
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,2.25,$91.06,-10.01%,-10.01%,$81.94,$119.00,$98.94,8.65%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,0.181
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,3.25,$259.48,-8.30%,-8.30%,$237.95,$299.69,$271.45,4.61%,$0.00,-100.00%,$0.00,-100.00%,AAPL,NASDAQ:AAPL,0.614
NYSE:AAT,11 Jan 2026,$25.27,3,$19.00,4,2.75,$18.06,5.20%,5.20%,$19.00,$25.27,$18.55,2.71%,$0.00,-100.00%,$0.00,-100.00%,AAT,NYSE:AAT,0.308
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$80.62,-14.10%,,,,,-100.00%,-$2.00,-102.48%,-$2.00,-102.48%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$80.62,-8.92%,,,,$72.91,-9.56%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.712
NYSE:ABEV,27 Jan 2026,$3.16,5,$2.78,7,4,$2.78,0.00%,0.00%,$2.78,$3.16,$2.88,3.60%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,0.125
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$46.04,21.16%,,,,$45.18,-1.87%,$50.53,9.74%,$68.73,49.28%,ABM,NYSE:ABM,-0.487
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$109.30,11.24%,,,,$104.10,-4.76%,$0.00,-100.00%,$0.00,-100.00%,ABT,NYSE:ABT,-0.712
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.91,86.52%,,,,$3.80,-2.81%,$0.00,-100.00%,$0.00,-100.00%,ACCO,NYSE:ACCO,-0.740
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.31,14.12%,,,,$10.98,-2.92%,$0.00,-100.00%,$0.00,-100.00%,ACEL,NYSE:ACEL,-0.680
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$96.04,1.28%,,,,$95.84,-0.21%,$0.00,-100.00%,$0.00,-100.00%,ACGL,NASDAQ:ACGL,-0.264
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.19,21.56%,,,,$7.15,-0.56%,$0.00,-100.00%,$0.00,-100.00%,ACHR,NYSE:ACHR,-0.322
NYSE:ACI,2 Jan 2026,$20.36,5,$23.58,7,4,$16.65,22.28%,,,,$17.16,3.06%,$44.56,167.61%,$55.18,231.42%,ACI,NYSE:ACI,0.385
NASDAQ:ACIW,22 Jan 2026,$51.69,5,$65.33,7,4.25,$43.36,19.21%,19.21%,$51.69,$65.33,$46.00,6.09%,$0.00,-100.00%,$0.00,-100.00%,ACIW,NASDAQ:ACIW,0.775
NASDAQ:ACLS,19 Jan 2026,$111.62,4,$98.50,6,3.75,$88.07,11.84%,11.84%,$98.50,$111.62,$97.35,10.54%,$0.00,-100.00%,$0.00,-100.00%,ACLS,NASDAQ:ACLS,0.754
NASDAQ:ACMR,2 Jan 2025,$10.84,3,$10.82,5,,$58.12,-81.38%,,,,$59.98,3.20%,$0.00,-100.00%,$0.00,-100.00%,ACMR,NASDAQ:ACMR,0.488
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$263.64,0.17%,,,,$258.79,-1.84%,$365.02,38.45%,$391.63,48.55%,ACN,NYSE:ACN,-0.304
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.81,37.29%,,,,$7.63,-2.30%,$0.00,-100.00%,$0.00,-100.00%,ACVA,NYSE:ACVA,-0.625
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$72.23,9.73%,,,,$67.72,-6.24%,$0.00,-100.00%,$0.00,-100.00%,ADC,NYSE:ADC,-0.963
NASDAQ:ADEA,19 Jan 2026,$20.98,3,$22.75,8,3.5,$18.09,15.96%,15.96%,$20.98,$22.75,$19.02,5.14%,$0.00,-100.00%,$0.00,-100.00%,ADEA,NASDAQ:ADEA,0.537
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,3,$310.88,-13.12%,-13.12%,$270.08,$290.50,$324.30,4.32%,$406.03,30.61%,$448.02,44.11%,ADI,NASDAQ:ADI,0.027
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.21,144.29%,,,,,-100.00%,-$2.00,-1052.38%,-$2.00,-1052.38%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,3.25,$246.82,13.40%,13.40%,$279.90,$288.80,$243.15,-1.49%,$251.39,1.85%,$273.37,10.76%,ADP,NASDAQ:ADP,-0.517
NASDAQ:ADTN,27 Jan 2026,$10.06,3,$13.00,10,4.25,$9.22,9.15%,9.15%,$10.06,$13.00,$10.46,13.45%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN,0.977
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$190.50,-58.28%,,,,$184.58,-3.11%,$0.00,-100.00%,$0.00,-100.00%,AEM,NYSE:AEM,-0.833
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$2.50,204.00%,,,,,-100.00%,-$2.00,-180.00%,-$2.00,-180.00%,AEMD,NASDAQ:AEMD,-2.000
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$119.78,-12.58%,,,,$118.92,-0.72%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP,-0.232
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.65,-8.09%,,,,$14.46,-1.30%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES,-0.511
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.04,18.35%,,,,$14.72,-2.13%,$0.00,-100.00%,$0.00,-100.00%,AFYA,NASDAQ:AFYA,-0.490
NYSE:AG,12 Aug 2025,$7.66,3,,,,$20.84,-63.27%,,,,$20.38,-2.21%,$0.00,-100.00%,$0.00,-100.00%,AG,NYSE:AG,-0.683
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$36.90,-48.10%,,,,$35.74,-3.14%,$0.00,-100.00%,$0.00,-100.00%,AGI,NYSE:AGI,-0.711
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$169.30,6.17%,,,,$165.21,-2.42%,$0.00,-100.00%,$0.00,-100.00%,AGM,NYSE:AGM,-0.777
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$11.40,-9.56%,,,,$11.34,-0.53%,$0.00,-100.00%,$0.00,-100.00%,AGNC,NASDAQ:AGNC,-0.530
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$84.85,18.12%,,,,$84.44,-0.48%,$0.00,-100.00%,$0.00,-100.00%,AGO,NYSE:AGO,-0.505
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.86,6.09%,,,,$8.56,-3.39%,$0.00,-100.00%,$0.00,-100.00%,AGRO,NYSE:AGRO,-0.830
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$10.05,36.02%,,,,$9.73,-3.18%,$0.00,-100.00%,$0.00,-100.00%,AHCO,NASDAQ:AHCO,-0.509
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$74.88,13.19%,,,,$72.12,-3.69%,$0.00,-100.00%,$0.00,-100.00%,AIG,NYSE:AIG,-0.822
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$55.49,20.38%,,,,$54.58,-1.64%,$0.00,-100.00%,$0.00,-100.00%,AIN,NYSE:AIN,-0.471
NASDAQ:AIP,19 Jan 2026,$13.11,3,,,3.5,$15.01,-12.66%,-12.66%,$13.11,$13.11,$16.51,9.99%,$0.00,-100.00%,$0.00,-100.00%,AIP,NASDAQ:AIP,0.852
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$2.97,68.35%,,,,$2.64,-11.11%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS,-0.340
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$238.13,-6.85%,,,,$233.10,-2.11%,$0.00,-100.00%,$0.00,-100.00%,AIZ,NYSE:AIZ,-0.718
NASDAQ:AKAM,22 Jan 2026,$112.54,5,$100.79,8,4.5,$97.15,3.75%,3.75%,$100.79,$112.54,$103.36,6.39%,$0.00,-100.00%,$0.00,-100.00%,AKAM,NASDAQ:AKAM,0.706
NYSE:AL,2 Jan 2026,$58.27,3,$66.50,5,2.5,$64.63,-9.84%,,,,$64.62,-0.02%,$0.00,-100.00%,$0.00,-100.00%,AL,NYSE:AL,-0.382
NASDAQ:ALAB,27 Jan 2026,$140.56,1,$194.64,5,2.5,$150.62,-6.68%,-6.68%,$140.56,$194.64,$169.44,12.50%,$0.00,-100.00%,$0.00,-100.00%,ALAB,NASDAQ:ALAB,0.837
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$80.98,0.58%,,,,$80.56,-0.52%,$0.00,-100.00%,$0.00,-100.00%,ALC,NYSE:ALC,-0.317
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,,$20.74,-19.88%,,,,$0.00,-100.00%,$0.00,-100.00%,$0.00,-100.00%,ALEX,NYSE:ALEX,-1.000
NASDAQ:ALGM,19 Jan 2026,$25.92,2,$39.14,8,3.25,$36.91,-29.79%,-29.79%,$25.92,$39.14,$40.28,9.13%,$0.00,-100.00%,$0.00,-100.00%,ALGM,NASDAQ:ALGM,0.721
NYSE:ALIT,23 Jan 2026,$3.36,3,$4.00,7,3.25,$1.53,119.70%,119.70%,$3.36,$4.00,$1.62,5.88%,$0.00,-100.00%,$0.00,-100.00%,ALIT,NYSE:ALIT,0.285
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$198.99,-8.17%,,,,$192.67,-3.18%,$0.00,-100.00%,$0.00,-100.00%,ALL,NYSE:ALL,-0.819
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$165.39,-0.01%,,,,$159.99,-3.27%,$0.00,-100.00%,$0.00,-100.00%,ALLE,NYSE:ALLE,-0.760
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$42.28,-1.77%,,,,$41.92,-0.85%,-$462.32,-1193.47%,-$439.31,-1139.05%,ALLY,NYSE:ALLY,-0.547
