Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:PI	0.965217113494873	138.74				0	0
NYSE:FIS	0.9406129121780396	55.05	2026-03-10	0.39		0	0
NYSE:DD	0.8746160268783569	49.84	2025-11-28	0.4025	Buy 63 at $47.22 ~= $2,975	0	0
NYSE:ELME	0.8472017049789429	2.37	2026-01-08	0.18	Buy 1339 at $2.25 ~= $3,013	0	0
NYSE:STM	0.801620364189148	34.59	2026-03-24	0	ADR	0	0
NASDAQ:HIMX	0.7995871901512146	8.47			ADR	0	0
NASDAQ:HCKT	0.7465391755104065	16.82	2025-12-23	0.1175		0	0
NASDAQ:IMOS	0.7464013695716858	35.76			ADR	0	0
NASDAQ:CEVA	0.7071980834007263	24.33				0	0
NYSE:NABL	0.701002299785614	5.83				0	0
NASDAQ:AIP	0.6927481889724731	15.62				0	0
NASDAQ:DIOD	0.6423004269599915	64.19				0	0
NYSE:BDC	0.60957270860672	147.96	2025-12-11	0.05		0	0
NASDAQ:ON	0.6016967296600342	68.28				0	0
NASDAQ:SKYT	0.5948434472084045	31.97				0	0
NASDAQ:LSCC	0.5913432836532593	89.82				0	0
NASDAQ:INDI	0.5856854915618896	4.16				0	0
NYSE:SEMR	0.5844101905822754	12.27			Buy 39 at $11.85 ~= $462	0	0
NYSEAMERICAN:MPTI	0.5715288519859314	68.56				0	0
NASDAQ:GFS	0.564454197883606	45.16				0	0
