Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NASDAQ:EXPE	1	327.54	2026-03-05	0.4		207.9712989134908	346.17881402914685	11.0588
NASDAQ:III	1	7.19	2025-12-05	0.045		0	0	0.1405
NYSE:STM	1	52.36	2026-03-24	0	ADR	0	0	0.1843
NYSE:DD	1	76.86	2026-03-02	0.3575	Buy 198 at $51.24 ~= $10,146	72.3972953673217	52.72560907379301	-1.9050
NYSE:ELME	1	3.27	2026-01-08	0.18		0	0	-1.4821
NASDAQ:TRIP	0.9596424698829651	11.26				56.91590896664929	64.28241174349463	0.3486
NYSE:VIK	0.9336250424385071	84.89				0	0	2.6838
NASDAQ:BKNG	0.910265326499939	4553.38	2026-03-06	9.6		7191.834717927141	7634.604197968107	170.6169
NYSE:ACN	0.8847524523735046	219.30	2026-01-13	1.555		314.8314629465269	342.1483735213792	12.3670
NASDAQ:ABNB	0.8588460087776184	144.86				223.73669773435748	224.09156866491398	5.9281
NASDAQ:INDI	0.8435949683189392	3.89				0	0	-0.7106
NASDAQ:LASR	0.8219788074493408	66.12				0	0	-0.3352
NASDAQ:GDYN	0.8145449161529541	7.29				0	0	0.1104
NYSE:INGM	0.8122622966766357	21.87			GTC: delete	0	0	0.8783
NASDAQ:ADTN	0.8113990426063538	11.64				0	0	-0.5250
NYSE:BTI	0.7912825345993042	66.01	2026-03-27	0.6125	Buy 135 at $63.03 ~= $8,509; ADR	0	0	3.5794
NASDAQ:VISN	0.7803149819374084	18.74				0	0	0.2496
NYSE:CCL	0.7787823677062988	34.52	2026-02-13	0	GTC: delete	6.0977359385957	37.86145170844741	2.2325
NYSE:DOLE	0.7759789824485779	16.60	2025-12-09	0.08375		32.98229310532801	10.156638126600688	1.0200
NYSE:BF.A	0.7622455358505249	31.55	2026-03-06	0.2265		32.531957756925145	37.91159914659771	4.8038
