Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$53.11,-23.09%,,,,$53.73,1.17%,$34.08,-35.83%,$68.19,28.40%,AA,NYSE:AA,-0.491
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$15.35,-18.89%,,,,$14.99,-2.35%,$7.17,-53.32%,$12.91,-15.89%,AAL,NASDAQ:AAL,-0.633
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$77.09,-14.71%,,,,$76.84,-0.32%,$90.94,17.97%,$99.26,28.76%,AAON,NASDAQ:AAON,-0.022
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$74.12,-6.57%,,,,,-100.00%,-$2.00,-102.70%,-$2.00,-102.70%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$74.12,-0.93%,,,,$75.17,1.42%,-$147.50,-299.00%,-$137.84,-285.97%,ABCB,NYSE:ABCB,-0.324
NYSE:ABEV,22 Dec 2025,$3.11,5,$2.75,7,4,$2.47,11.34%,11.34%,$2.75,$3.11,$2.57,4.05%,$6.48,162.43%,$7.72,212.37%,ABEV,NYSE:ABEV,0.311
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$42.62,30.88%,,,,$42.28,-0.80%,$48.19,13.08%,$66.64,56.35%,ABM,NYSE:ABM,-0.622
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,2.75,$125.76,-3.32%,-3.32%,$121.58,$147.38,$125.97,0.17%,$202.32,60.88%,$235.51,87.27%,ABT,NYSE:ABT,-0.068
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.76,93.96%,,,,$3.72,-1.06%,$35.99,857.23%,$50.89,1253.37%,ACCO,NYSE:ACCO,-0.559
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.38,13.42%,,,,$11.44,0.53%,$19.72,73.33%,$29.16,156.21%,ACEL,NYSE:ACEL,-0.570
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$96.62,0.68%,,,,$96.22,-0.41%,$363.76,276.49%,$373.36,286.43%,ACGL,NASDAQ:ACGL,-0.379
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.49,16.69%,,,,$7.99,6.68%,$6.66,-11.09%,$6.70,-10.58%,ACHR,NYSE:ACHR,0.207
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$269.72,-2.09%,,,,$278.61,3.30%,$377.43,39.93%,$404.48,49.96%,ACN,NYSE:ACN,0.150
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.13,31.88%,,,,$8.06,-0.86%,$10.96,34.77%,$7.80,-4.06%,ACVA,NYSE:ACVA,-0.621
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$72.19,9.79%,,,,$69.68,-3.48%,$50.44,-30.13%,$84.99,17.73%,ADC,NYSE:ADC,-0.942
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.23,123.04%,,,,,-100.00%,-$2.00,-969.57%,-$2.00,-969.57%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,31 Dec 2025,$11.96,4,$13.40,8,3.75,$8.81,35.75%,35.75%,$11.96,$13.40,$9.06,2.84%,$4.86,-44.86%,$27.67,214.07%,ADTN,NASDAQ:ADTN,0.103
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$170.25,-53.32%,,,,$0.00,-100.00%,$315.11,85.09%,$375.72,120.69%,AEM,NYSE:AEM,-1.000
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,2,$2.78,173.38%,173.38%,$7.60,$7.60,,-100.00%,-$2.00,-171.94%,-$2.00,-171.94%,AEMD,NASDAQ:AEMD,-2.000
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$115.57,-9.40%,,,,$118.27,2.34%,-$2.49,-102.16%,$116.55,0.85%,AEP,NASDAQ:AEP,0.091
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.51,-7.20%,,,,$14.21,-2.07%,-$53.84,-471.03%,-$49.41,-440.51%,AES,NYSE:AES,-0.236
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.21,17.03%,,,,$14.99,-1.45%,$117.64,673.47%,$144.41,849.46%,AFYA,NASDAQ:AFYA,-0.303
NYSE:AG,12 Aug 2025,$7.66,3,,,,$16.79,-54.41%,,,,$0.00,-100.00%,$18.45,9.90%,$24.39,45.28%,AG,NYSE:AG,-1.000
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$38.88,-50.75%,,,,$0.00,-100.00%,$55.44,42.59%,$64.70,66.40%,AGI,NYSE:AGI,-1.000
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$176.35,1.93%,,,,$173.02,-1.89%,"-$2,515.80",-1526.59%,"-$2,583.21",-1564.82%,AGM,NYSE:AGM,-0.820
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,3,$10.78,-4.36%,-4.36%,$10.31,$10.87,$10.79,0.09%,-$72.91,-776.34%,-$67.21,-723.43%,AGNC,NASDAQ:AGNC,-0.498
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$90.37,10.90%,,,,$90.29,-0.09%,$30.39,-66.37%,$30.45,-66.30%,AGO,NYSE:AGO,-0.463
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.91,18.84%,,,,$7.80,-1.39%,$27.68,250.00%,$14.76,86.60%,AGRO,NYSE:AGRO,-0.615
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,2.75,$10.00,36.70%,36.70%,$13.67,$13.94,$10.09,0.90%,$8.41,-15.94%,$40.59,305.92%,AHCO,NASDAQ:AHCO,-0.267
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$86.09,-1.54%,,,,$85.72,-0.43%,-$49.02,-156.95%,$16.57,-80.76%,AIG,NYSE:AIG,-0.615
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$50.97,31.06%,,,,$51.01,0.08%,$68.95,35.28%,$111.05,117.88%,AIN,NYSE:AIN,-0.610
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$1.98,152.53%,,,,$1.95,-1.52%,$2.86,44.32%,$2.53,27.78%,AIRS,NASDAQ:AIRS,-0.562
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$241.58,-8.18%,,,,$239.97,-0.67%,$478.39,98.03%,$567.05,134.73%,AIZ,NYSE:AIZ,-0.386
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$64.29,-22.43%,,,,$65.64,2.10%,-$212.86,-431.10%,-$84.16,-230.91%,AL,NYSE:AL,0.194
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$79.08,3.00%,,,,$79.98,1.14%,$137.66,74.08%,$186.02,135.22%,ALC,NYSE:ALC,-0.171
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,,$20.67,-19.61%,,,,$0.00,-100.00%,$26.15,26.53%,$19.86,-3.92%,ALEX,NYSE:ALEX,-1.000
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$1.97,216.80%,,,,$1.91,-3.05%,$0.73,-62.89%,$11.43,480.21%,ALIT,NYSE:ALIT,-0.764
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$209.43,-12.75%,,,,$207.18,-1.07%,$696.41,232.53%,$814.14,288.74%,ALL,NYSE:ALL,-0.575
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$160.44,3.08%,,,,$161.15,0.44%,$305.01,90.11%,$335.23,108.95%,ALLE,NYSE:ALLE,-0.170
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$45.51,-8.75%,,,,$45.76,0.55%,-$444.22,-1076.10%,-$478.75,-1151.97%,ALLY,NYSE:ALLY,-0.300
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$22.37,9.69%,,,,$21.30,-4.78%,-$89.78,-501.36%,-$77.39,-445.94%,ALRS,NASDAQ:ALRS,-0.734
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$98.48,-0.35%,,,,$99.65,1.19%,$223.83,127.28%,$252.08,155.97%,ALSN,NYSE:ALSN,-0.232
NASDAQ:ALT,23 Dec 2025,$9.35,5,$13.00,2,2.75,$3.59,160.45%,160.45%,$9.35,$13.00,$3.59,0.00%,$2.05,-42.77%,$2.07,-42.36%,ALT,NASDAQ:ALT,-0.524
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.12,375.89%,,,,$1.09,-2.68%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,-0.567
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$5.17,67.54%,,,,$4.89,-5.42%,$5.73,10.88%,$7.64,47.70%,ALVO,NASDAQ:ALVO,-0.786
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$32.10,-4.51%,,,,$32.05,-0.16%,-$136.57,-525.44%,-$135.69,-522.70%,AMAL,NASDAQ:AMAL,-0.722
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,#N/A,#N/A,,,,$0.00,#N/A,$190.25,#N/A,$199.41,#N/A,AMBC,NYSE:AMBC,-1.000
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$4.08,25.96%,,,,$4.08,0.00%,$2.44,-40.16%,$10.40,154.83%,AMBP,NYSE:AMBP,-0.548
NYSE:AMCR,23 Dec 2025,$10.98,3,$10.82,5,2.5,$8.38,29.12%,29.12%,$10.82,$10.98,$8.36,-0.24%,$4.45,-46.90%,$1.35,-83.92%,AMCR,NYSE:AMCR,-0.515
NYSE:AME,19 Nov 2025,$189.82,2,$220.17,2,,$206.98,-8.29%,,,,$213.52,3.16%,$315.71,52.53%,$347.57,67.92%,AME,NYSE:AME,0.233
NYSE:AMPY,26 Aug 2025,$6.99,3,,,,$4.53,54.39%,,,,$4.56,0.66%,$20.32,348.51%,$20.95,362.43%,AMPY,NYSE:AMPY,-0.533
NASDAQ:AMRK,30 Aug 2025,$28.71,3,,2,,#N/A,#N/A,,,,$0.00,#N/A,$0.00,#N/A,$0.00,#N/A,AMRK,NASDAQ:AMRK,-1.000
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,,$28.90,40.69%,,,,$30.02,3.88%,$36.43,26.05%,$38.27,32.42%,AMSC,NASDAQ:AMSC,0.159
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$38.29,20.10%,,,,$37.69,-1.57%,$28.66,-25.15%,$29.43,-23.13%,AMSF,NASDAQ:AMSF,-0.591
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,,$19.57,-1.18%,,,,$19.68,0.56%,-$171.72,-977.49%,-$170.22,-969.80%,AMTB,NYSE:AMTB,-0.594
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$1.42,124.37%,,,,$1.30,-8.45%,$1.58,11.17%,-$7.18,-605.76%,AMTX,NASDAQ:AMTX,-0.417
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$53.86,60.85%,,,,$53.70,-0.30%,$49.85,-7.44%,$258.35,379.67%,AMWD,NASDAQ:AMWD,-0.604
NYSE:AMX,15 May 2025,$18.21,3,,3,,$20.73,-12.16%,,,,$20.87,0.68%,$71.07,242.85%,$149.52,621.26%,AMX,NYSE:AMX,-0.402
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$127.24,-6.95%,,,,$125.66,-1.24%,$300.41,136.10%,$361.27,183.93%,ANF,NYSE:ANF,-0.512
NYSE:AON,29 Aug 2025,$347.01,2,,,,$355.61,-2.42%,,,,$356.51,0.25%,$349.19,-1.80%,$390.25,9.74%,AON,NYSE:AON,-0.227
NYSE:AORT,11 Dec 2025,$47.98,3,$51.71,4,2.5,$46.23,3.79%,3.79%,$47.98,$51.71,$47.30,2.31%,$49.45,6.96%,$54.42,17.72%,AORT,NYSE:AORT,0.067
NYSE:AOS,23 Dec 2025,$71.67,4,$77.00,3,3,$67.34,6.43%,6.43%,$71.67,$77.00,$69.58,3.33%,$155.17,130.43%,$164.67,144.54%,AOS,NYSE:AOS,0.149
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$24.62,15.70%,,,,$24.58,-0.16%,$69.10,180.68%,$83.15,237.73%,APA,NASDAQ:APA,-0.372
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$248.43,19.26%,,,,$244.51,-1.58%,$119.38,-51.94%,$167.35,-32.64%,APD,NYSE:APD,-0.650
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$37.36,-7.60%,,,,$36.62,-1.98%,$81.49,118.11%,$94.43,152.76%,APEI,NASDAQ:APEI,-0.743
NYSE:APH,16 Sep 2023,$81.57,2,,,,$135.76,-39.92%,,,,$135.12,-0.47%,$194.84,43.52%,$207.68,52.97%,APH,NYSE:APH,-0.605
NASDAQ:API,24 Aug 2025,$3.05,3,,,,$4.07,-25.18%,,,,$3.93,-3.44%,$4.74,16.38%,$6.99,71.86%,API,NASDAQ:API,-0.598
NASDAQ:APOG,5 May 2025,$66.39,5,,2,,$36.80,80.40%,,,,$36.55,-0.68%,$0.00,-100.00%,$0.00,-100.00%,APOG,NASDAQ:APOG,-0.276
NYSE:AQN,26 Aug 2025,$6.14,4,,8,,$6.16,-0.27%,,,,$0.00,-100.00%,-$3.99,-164.77%,-$2.06,-133.45%,AQN,NYSE:AQN,-1.000
NYSE:AR,20 Aug 2025,$31.31,3,,,,$34.22,-8.51%,,,,$34.88,1.93%,$52.27,52.75%,$78.41,129.13%,AR,NYSE:AR,-0.566
NASDAQ:ARAY,11 Dec 2025,$1.27,4,$4.00,4,2.75,$0.83,53.01%,53.01%,$1.27,$4.00,$0.78,-6.02%,$2.43,192.28%,$3.48,319.12%,ARAY,NASDAQ:ARAY,-0.167
NYSE:ARCO,29 Aug 2025,$10.31,3,,9,,$7.34,40.42%,,,,$7.23,-1.50%,$1.40,-80.97%,$28.93,294.20%,ARCO,NYSE:ARCO,-0.609
NASDAQ:ARHS,7 Jul 2025,$13.03,3,,4,,$11.32,15.08%,,,,$11.58,2.30%,$17.05,50.59%,$33.49,195.89%,ARHS,NASDAQ:ARHS,-0.044
NASDAQ:ARKO,26 Aug 2025,$6.50,3,,,,$4.47,45.52%,,,,$4.55,1.79%,-$12.83,-387.11%,-$0.74,-116.63%,ARKO,NASDAQ:ARKO,-0.168
NASDAQ:AROW,2 Oct 2025,$52.81,3,$48.67,4,,$31.48,54.61%,,,,$30.77,-2.26%,-$165.91,-627.02%,-$162.13,-615.03%,AROW,NASDAQ:AROW,-0.715
NYSE:ARX,13 Nov 2025,$14.59,3,,,,$16.20,-9.93%,,,,$15.99,-1.30%,$0.00,-100.00%,$0.00,-100.00%,ARX,NYSE:ARX,-0.744
NYSE:ASB,10 Apr 2025,$23.54,5,,6,,$25.85,-8.94%,,,,$25.92,0.27%,-$170.35,-759.01%,-$166.32,-743.39%,ASB,NYSE:ASB,-0.434
NYSE:ASH,14 May 2025,$83.18,3,,4,,$58.79,41.49%,,,,$58.77,-0.03%,$96.12,63.49%,$185.35,215.28%,ASH,NYSE:ASH,-0.479
NASDAQ:ASML,30 Aug 2025,$871.20,3,,10,,"$1,075.47",-18.99%,,,,"$1,069.33",-0.57%,"$1,094.52",1.77%,"$1,152.90",7.20%,ASML,NASDAQ:ASML,-0.236
NASDAQ:ASPI,19 Nov 2025,$6.33,3,$13.00,3,,$5.29,19.73%,,,,$5.31,0.38%,$4.80,-9.21%,$4.81,-9.00%,ASPI,NASDAQ:ASPI,-0.696
NYSE:ASR,10 Jul 2025,$344.93,4,,7,,$321.82,7.18%,,,,$335.10,4.13%,$354.98,10.30%,$371.70,15.50%,ASR,NYSE:ASR,0.141
NASDAQ:ATEC,11 Dec 2025,$16.73,3,$23.17,2,2.25,$21.06,-20.56%,-20.56%,$16.73,$23.17,$21.59,2.52%,$15.68,-25.54%,$21.15,0.42%,ATEC,NASDAQ:ATEC,0.172
NYSE:ATGE,15 Oct 2025,$131.23,2,,,,$104.08,26.09%,,,,$103.19,-0.86%,$186.57,79.25%,$211.16,102.88%,ATGE,NYSE:ATGE,-0.548
