date,symbol,amount
2026-03-11,NYSE:DSX,0.01
2026-06-10,NYSE:DSX,0.01
2026-03-09,NASDAQ:SBLK,0.37
2026-06-12,NASDAQ:SBLK,0.5
2026-06-25,NASDAQ:IMPP,0.546875
2026-02-24,NYSE:GSL,0.625
2026-05-22,NYSE:GSL,0.625
2026-02-11,NYSE:TEN,0.5
2026-03-27,NASDAQ:SHIP,0.2
2026-02-23,NYSE:DAC,0.9
2026-05-26,NYSE:DAC,0.9
2026-02-09,NYSE:NMM,0.05
2026-05-11,NYSE:NMM,0.06
2026-03-10,NASDAQ:ESEA,0.75
2026-06-09,NASDAQ:ESEA,0.8
2026-03-02,NYSE:DD,0.2
2026-05-15,NYSE:DD,0.2
2026-05-28,NYSE:DD,0.35
2026-03-11,NASDAQ:NVDA,0.01
2026-06-04,NASDAQ:NVDA,0.25
2026-03-23,NASDAQ:AVGO,0.65
2026-03-09,NYSE:BF.B,0.231
2026-06-10,NYSE:BF.B,0.231
2026-03-09,NYSE:BF.A,0.231
2026-06-10,NYSE:BF.A,0.231
2026-03-05,NASDAQ:QCOM,0.89
2026-06-04,NASDAQ:QCOM,0.92
2026-02-24,NASDAQ:SWKS,0.71
2026-05-26,NASDAQ:SWKS,0.71
2026-02-11,NASDAQ:SIMO,0.5
2026-05-07,NASDAQ:SIMO,0.5
2026-02-17,NASDAQ:KLAC,1.9
2026-05-18,NASDAQ:KLAC,2.3
