ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:ELME,2.695,18.08,2.86,17.42,60535474.14
NASDAQ:SBLK,12.06,20.87,19.87,20.4,24768291.69
NASDAQ:IMPP,2.116965,6.57,3.88,3.77,1811515.98
NASDAQ:ICON,0.04,4.2301,2.59,0.6662,3471124.34
NYSE:GSL,17.7301,37.22,35.67,35.43,11435651.80
NYSE:DSX,1.27,2.035,1.83,1.8,1011585.25
NASDAQ:SHIP,4.78,11.15,9.17,9.49,1161038.45
NYSE:DAC,65.4,102.1999,100.17,95.89,7504384.26
NASDAQ:GASS,4.9,8.18,7.83,7.36,1043093.50
NYSE:NMM,28.37,56.67,56.02,53.19,5664897.49
NASDAQ:ESEA,26.3,66.0,54.1,54.55,2021583.36
NYSE:DD,33.335,85.0,43.79,43.44,172330084.95
NYSE:NLOP,19.7,34.53,19.97,20.88,3800855.50
NYSE:BXP,54.22,79.33,66.32,68.1,99056485.56
NYSE:PKST,10.26,15.4043,13.96,13.74,2176598.18
NASDAQ:AMD,76.48,267.0799,220.97,214.35,6510498176.62
NASDAQ:RMBS,40.12,114.55,95.48,97.0,135546241.74
NYSE:LB,43.75,87.5968,55.38,45.55,31145048.30
NASDAQ:AVGO,138.1,414.61,354.61,343.77,7546255708.54
NASDAQ:INDI,1.53,6.05,4.11,4.0,9769135.09
