ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:SLB,31.64,58.8199,47.24,45.09,634566576.67
NYSE:HAL,20.17,43.59,34.12,33.01,359491180.25
NYSE:FTI,31.88,77.78,70.53,65.11,380982346.40
NYSE:SEI,24.57,86.19,68.26,73.42,166975877.49
NYSE:SEM,11.65,16.99,16.51,16.57,107385621.04
NYSE:EMN,56.11,83.47,67.21,67.09,99195237.75
NASDAQ:VISN,7.135,20.55,12.6,12.37,89109527.16
NYSE:VAL,43.53,114.12,76.33,72.46,77931447.28
NYSE:AESI,7.6417,20.13,14.21,15.62,49218912.38
NYSE:FLOC,14.03,28.26,20.61,20.67,23064815.08
NYSE:NPKI,8.17,16.5,14.43,14.3,21259096.92
NYSE:CLB,9.72,20.36,10.99,11.57,20002209.53
NYSE:SU,37.765,70.29,58.49,53.57,253068784.65
NYSE:HLX,5.52,10.75,9.08,8.51,14559537.57
NYSE:SITC,3.91,12.39,4.21,4.46,7311266.89
NYSE:OIS,4.7509,14.5,8.23,7.91,6144465.63
NYSE:USAC,21.85,30.55,26.5,26.1,4024533.70
NYSE:RNGR,11.14,18.815,15.74,15.77,3151401.98
NYSE:INVX,14.65,32.25,25.06,24.28,12716054.52
NASDAQ:WFRD,52.33,113.15,82.78,80.21,129918543.28
