Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:AVGO	0.9148349761962891	432.66			Buy 26 at $407.52 ~= $10,596	0	0	4.2256	475.49
NASDAQ:ADI	0.9148304462432861	423.99			Buy 2 at $399.35 ~= $799	0	0	4.3774	392.94
NASDAQ:SMTC	0.9148194193840027	148.11				0	0	-0.6426	105.54
NYSE:SLB	0.9148158431053162	50.47				87.03948597526762	104.85565928855111	2.2316	56.36
NASDAQ:RMBS	0.9148147106170654	127.20				0	0	1.5913	139.25
NYSE:ASX	0.9148133397102356	47.31			ADR	0	0	0.5828	38.65
NYSE:FTI	0.9148048162460327	75.55	2026-05-19	0.05		0	0	2.0389	72.57
NASDAQ:SWKS	0.9148026704788208	65.02				145.0504643683256	176.3141723641	2.6216	67.16
NYSE:SU	0.9147821068763733	62.60				95.22184484252143	154.47065917072334	4.3487	61.37
NYSE:EMN	0.914713442325592	72.27				106.72495597309855	151.58402731696063	4.1452	79.20
NASDAQ:VISN	0.9147052764892578	13.49	2026-04-28	0	GTC: delete	0	0	-0.1410	17.00
NYSE:SEM	0.9147003889083862	8.77	2026-05-14	0.0625		0	0	0.7496	16.62
NYSE:CLB	0.9142465591430664	12.02				11.55519909347548	16.947312789922172	0.6906	16.33
NYSE:SITC	0.9132160544395447	4.54				23.84770986334327	91.33557477931011	3.3894	6.00
NYSE:EBF	0.9120384454727173	22.52	2026-04-13	0		45.818947590696425	52.769067887725306	1.6923	24.00
NYSE:USAC	0.9117306470870972	28.97	2026-04-27	0.525	Withholding Tax: 10%	0	0	0.6939	29.00
NYSE:T	0.9078607559204102	22.34				15.959767867811603	53.75721716370444	3.1350	30.43
NYSE:HAL	0.8999381065368652	36.81				0	0	1.2784	41.64
NASDAQ:ALMU	0.8857448101043701	19.94				0	0	-0.2811	28.67
NYSE:FLOC	0.8770159482955933	22.11	2026-05-15	0.06		0	0	1.0178	29.88
