Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",Score,Analyst Target Price,Tip Ranks Difference
NYSE:AA,23 Jun 2026,$55.51,3,$78.71,7,3.09,$46.85,18.49%,18.49%,$55.51,$78.71,$47.93,2.31%,$0.00,-100.00%,$0.00,-100.00%,AA,NYSE:AA,-0.012,$72.44,8.66%
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,4.24,$15.60,-20.19%,,,,$0.00,-100.00%,$0.00,-100.00%,$0.00,-100.00%,AAL,NASDAQ:AAL,-1.000,$19.47,-29.48%
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,5.00,$100.24,-63.65%,,,,$0.00,-100.00%,$0.00,-100.00%,$0.00,-100.00%,AAOI,NASDAQ:AAOI,-1.000,$151.30,-74.72%
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,1.57,$113.20,-27.61%,,,,$107.79,-4.78%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.772,$151.33,-21.36%
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,1.43,$333.26,-28.60%,,,,$315.51,-5.33%,$0.00,-100.00%,$0.00,-100.00%,AAPL,NASDAQ:AAPL,-0.598,$316.76,-5.39%
NYSE:AAT,22 Apr 2026,$25.97,5,$19.00,3,3.35,$25.85,-26.50%,,,,$26.50,2.51%,$0.00,-100.00%,$0.00,-100.00%,AAT,NYSE:AAT,0.519,$20.50,-7.32%
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$93.17,-25.67%,,,,,-100.00%,-$2.00,-102.15%,-$2.00,-102.15%,ABCB,NYSE:ABCB,-2.000,,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,1.01,$93.17,-21.19%,,,,$87.79,-5.77%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.866,$95.17,
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,2.79,$3.05,2.30%,,,,$3.12,2.30%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,0.022,$3.37,-7.42%
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,2.88,$48.17,15.80%,,,,$47.58,-1.22%,$2.35,-95.13%,$22.08,-54.15%,ABM,NYSE:ABM,0.081,$52.43,11.39%
