date,ticker,high,low,open,close,split_coefficient,volume
2026-06-03,NYSE:VLO,265.6101,256.82,260.8,261.45,1.0,2691548
2026-06-04,NYSE:VLO,262.69,254.61,255.86,258.85,1.0,2288438
2026-06-05,NYSE:VLO,262.85,253.3798,258.44,255.82,1.0,2427948
2026-06-08,NYSE:VLO,264.005,254.885,260.0,258.39,1.0,3043196
2026-06-09,NYSE:VLO,258.185,246.465,257.5,253.78,1.0,2724426
2026-06-10,NYSE:VLO,263.52,253.95,258.0,257.99,1.0,2522859
2026-06-11,NYSE:VLO,264.16,253.43,264.04,255.6,1.0,3365622
2026-06-12,NYSE:VLO,262.33,251.0,251.775,258.67,1.0,2203237
2026-06-15,NYSE:VLO,249.2,241.15,244.7,247.16,1.0,4348069
2026-06-16,NYSE:VLO,245.9672,239.95,243.94,244.13,1.0,2976173
2026-06-17,NYSE:VLO,244.52,236.89,243.82,239.77,1.0,2753727
2026-06-18,NYSE:VLO,238.03,232.72,236.92,236.3,1.0,6141232
2026-06-22,NYSE:VLO,243.8,233.95,238.48,243.78,1.0,2809958
2026-06-23,NYSE:VLO,245.765,241.17,242.84,243.68,1.0,3267584
2026-06-24,NYSE:VLO,244.205,236.1,238.91,242.43,1.0,3472029
2026-06-25,NYSE:VLO,255.74,240.02,240.7,255.06,1.0,3400230
2026-06-26,NYSE:VLO,260.67,252.0,253.46,259.37,1.0,8402920
2026-06-29,NYSE:VLO,272.17,261.03,262.42,266.32,1.0,3057850
2026-06-30,NYSE:VLO,269.69,259.4201,267.0,260.44,1.0,2970033
2026-07-01,NYSE:VLO,269.9,260.75,263.04,269.44,1.0,2390562
2026-07-02,NYSE:VLO,274.9199,267.355,269.9,267.76,1.0,2113773
2026-07-06,NYSE:VLO,273.95,265.5293,267.63,270.32,1.0,1751541
2026-07-07,NYSE:VLO,269.5423,261.1,268.08,266.22,1.0,2249505
2026-07-08,NYSE:VLO,283.28,271.0432,272.01,282.88,1.0,3876012
2026-07-09,NYSE:VLO,284.28,277.28,281.89,281.25,1.0,2504105
2026-07-10,NYSE:VLO,287.05,274.81,282.98,280.69,1.0,1932281
2026-07-13,NYSE:VLO,297.66,285.82,285.82,295.79,1.0,2870566
2026-07-14,NYSE:VLO,301.43,293.68,299.39,301.43,1.0,3576791
2026-07-15,NYSE:VLO,299.66,287.335,299.0,292.66,1.0,4640562
2026-07-16,NYSE:VLO,303.64,294.0001,295.57,300.26,1.0,3140429
2026-07-17,NYSE:VLO,309.9,302.5201,306.28,309.65,1.0,2641194
2026-07-20,NYSE:VLO,316.57,306.5084,308.99,313.31,1.0,2493615
2026-07-21,NYSE:VLO,318.22,310.01,315.96,314.8,1.0,3146959
2026-07-22,NYSE:VLO,320.24,308.26,319.25,310.92,1.0,2547722
2026-06-03,NYSE:WMB,72.72,71.13,71.28,71.66,1.0,7550632
2026-06-04,NYSE:WMB,72.44,71.42,71.62,72.43,1.0,6558051
2026-06-05,NYSE:WMB,72.725,71.73,72.29,71.96,1.0,5749677
2026-06-08,NYSE:WMB,72.57,71.22,72.34,71.59,1.0,4499872
2026-06-09,NYSE:WMB,72.35,70.67,71.44,71.59,1.0,6312712
2026-06-10,NYSE:WMB,72.95,71.67,71.89,72.26,1.0,4277701
2026-06-11,NYSE:WMB,72.81,71.555,72.56,71.62,1.0,4392825
2026-06-12,NYSE:WMB,72.92,70.69,71.12,72.08,1.0,5518486
2026-06-15,NYSE:WMB,72.175,70.015,70.43,71.49,1.0,5888549
2026-06-16,NYSE:WMB,71.71,70.765,71.1,71.48,1.0,5835545
