Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:DD	0.9147703051567078	52.38	2026-05-15	0.3575		68.28766827323925	50.37311485762341	-1.9006	55.87
NASDAQ:PAA	0.914656937122345	24.47	2026-05-01	0.3895	Withholding Tax: 10%	65.6766790665892	90.46591843338038	2.0353	22.67
NASDAQ:VISN	0.9146534204483032	13.29	2026-04-28	0	GTC: delete	46.60480102299322	68.51916336477245	0.0027	17.00
NYSE:AIV	0.9118639230728149	4.55	2026-06-04	0		-4.086964427666601	-2.247908541288432	3.8002	7.00
NYSE:SITC	0.9118119478225708	5.26			GTC: delete	24.7761288568411	93.0124428272087	3.3894	6.00
NASDAQ:TASK	0.9111793637275696	6.94	2026-03-26	0		22.546442304622076	52.10341891907427	2.8010	12.00
NYSE:ELME	0.9093165993690491	2.19				0	0	-1.6823	18.00
NYSE:NLOP	0.9058051705360413	12.93	2026-03-30	0		100.72715306792875	142.33433077076378	-9.8057	46.00
NYSE:CX	0.8990645408630371	14.19			ADR	5.871346945030495	15.083076168589969	0.3167	14.13
NYSE:KMI	0.8725352883338928	33.25				58.036029400429186	76.8939115530409	1.3736	34.82
NASDAQ:SLM	0.8691547513008118	23.39	2026-06-04	0.13		38.76726538177399	-5.643785397347492	3.9676	29.00
NYSE:VLO	0.8636667132377625	274.51				425.82915829078416	531.1901011672468	7.8541	246.67
NYSE:TK	0.8474834561347961	12.26				0	0	1.1306	5.00
NYSE:HTH	0.8454500436782837	40.24	2026-05-08	0.185		79.89367764936584	85.38432788252786	2.7560	39.67
NYSE:OEC	0.8372313380241394	7.98	2026-06-10	0.02075		17.05678625496604	48.515214534090646	-1.2432	6.31
NASDAQ:ISTR	0.8325946927070618	30.31	2026-03-31	0.10875		0	0	2.0834	33.17
NYSE:EE	0.8294186592102051	34.57	2026-05-20	0.075		88.99843376233915	132.3209898503837	2.3936	42.38
NYSE:NE	0.8231601715087891	50.35	2026-06-04	0.5		69.67603470161225	101.53525447851102	1.4362	49.40
NYSE:CPK	0.806656002998352	129.70	2026-03-16	0.67375		70.77204701630079	92.13488011822396	5.2482	149.25
NYSE:BXP	0.8061567544937134	64.23	2026-03-31	0.84		16.79049504111521	74.1861834971511	1.7452	70.05
