Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",Score,Analyst Target Price,Tip Ranks Difference
NYSE:AA,23 Jun 2026,$55.51,3,$78.71,7,3.61,$53.47,3.82%,3.82%,$55.51,$78.71,$56.34,5.37%,$48.45,-9.39%,$68.50,28.12%,AA,NYSE:AA,0.475,$75.02,4.92%
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$17.92,-30.52%,,,,$18.22,1.67%,-$17.09,-195.37%,-$8.65,-148.27%,AAL,NASDAQ:AAL,0.004,$14.94,-8.10%
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$150.10,-75.72%,,,,$143.75,-4.23%,$0.00,-100.00%,$0.00,-100.00%,AAOI,NASDAQ:AAOI,0.186,$102.30,-62.61%
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$125.71,-34.81%,,,,$127.20,1.19%,$0.00,-100.00%,$0.00,-100.00%,AAON,NASDAQ:AAON,-0.176,$122.75,-3.05%
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$281.74,-15.54%,,,,$291.54,3.48%,$394.45,40.01%,$410.30,45.63%,AAPL,NASDAQ:AAPL,0.150,$303.38,-1.22%
NYSE:AAT,22 Apr 2026,$25.97,5,$19.00,3,,$24.84,-23.51%,,,,$25.67,3.34%,$10.77,-56.65%,$31.65,27.43%,AAT,NYSE:AAT,0.038,$19.00,0.00%
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$90.35,-23.35%,,,,,-100.00%,-$2.00,-102.21%,-$2.00,-102.21%,ABCB,NYSE:ABCB,-2.000,,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$90.35,-18.73%,,,,$91.42,1.18%,$0.00,-100.00%,$0.00,-100.00%,ABCB,NYSE:ABCB,-0.032,$93.50,
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,,$3.18,-1.89%,,,,$3.18,0.00%,$0.00,-100.00%,$0.00,-100.00%,ABEV,NYSE:ABEV,-0.174,$3.18,-1.89%
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.77,24.59%,,,,$46.98,4.94%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.320,$51.43,13.55%
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$92.71,31.14%,,,,$92.01,-0.76%,$0.00,-100.00%,$0.00,-100.00%,ABT,NYSE:ABT,-0.731,$120.00,22.82%
NYSE:ACCO,28 Apr 2026,$4.93,5,$7.00,6,,$4.27,15.56%,,,,$4.29,0.47%,-$8.13,-290.43%,$1.63,-61.73%,ACCO,NYSE:ACCO,0.107,$7.67,-8.74%
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$12.95,-0.33%,,,,$13.06,0.85%,$13.44,3.79%,$20.20,56.01%,ACEL,NYSE:ACEL,-0.578,$15.50,-3.23%
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$98.06,-0.80%,,,,$99.83,1.81%,$216.67,120.95%,$222.93,127.34%,ACGL,NASDAQ:ACGL,0.182,$109.03,-0.94%
NYSE:ACI,21 May 2026,$24.29,3,$22.00,6,,$13.47,63.33%,,,,$14.33,6.38%,$0.00,-100.00%,$0.00,-100.00%,ACI,NYSE:ACI,0.015,$21.53,2.18%
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,,$49.51,5.23%,,,,$47.09,-4.89%,$109.51,121.19%,$115.18,132.64%,ACIW,NASDAQ:ACIW,-0.440,$64.00,-1.05%
NASDAQ:ACLS,27 May 2026,$130.64,2,$167.25,8,,$176.13,-25.83%,,,,$183.75,4.33%,$211.37,20.01%,$216.35,22.83%,ACLS,NASDAQ:ACLS,0.684,$111.67,49.77%
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,,$118.88,-63.62%,,,,$108.62,-8.63%,$0.00,-100.00%,$0.00,-100.00%,ACMR,NASDAQ:ACMR,0.445,$70.50,-38.65%
NYSE:ACN,24 May 2026,$244.46,3,$254.70,8,,$124.74,95.98%,,,,$132.11,5.91%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,0.233,$250.51,1.67%
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.20,48.92%,,,,$6.54,-9.17%,$9.94,38.07%,$10.34,43.58%,ACVA,NYSE:ACVA,-0.397,$8.98,
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$76.93,3.03%,,,,$79.65,3.54%,$58.55,-23.90%,$91.49,18.92%,ADC,NYSE:ADC,0.516,$85.44,-4.14%
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,,$33.00,-37.35%,,,,$31.72,-3.88%,$52.65,59.54%,$60.06,82.00%,ADEA,NASDAQ:ADEA,0.216,$35.25,
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,,$391.78,-31.06%,,,,$418.76,6.89%,$0.00,-100.00%,$0.00,-100.00%,ADI,NASDAQ:ADI,0.493,$392.94,-26.07%
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$2.59,-80.19%,,,,,-100.00%,-$2.00,-177.22%,-$2.00,-177.22%,ADIL,NASDAQ:ADIL,-2.000,,
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,,$224.97,24.41%,,,,$220.87,-1.82%,$223.21,-0.78%,$244.66,8.75%,ADP,NASDAQ:ADP,-0.007,$260.60,10.82%
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,,$13.75,-26.25%,,,,$14.23,3.49%,$0.00,-100.00%,$0.00,-100.00%,ADTN,NASDAQ:ADTN,0.470,$17.00,-26.47%
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$153.76,-48.31%,,,,$158.17,2.87%,$308.94,100.92%,$366.41,138.30%,AEM,NYSE:AEM,-0.130,$254.29,
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$0.85,794.12%,,,,,-100.00%,-$2.00,-335.29%,-$2.00,-335.29%,AEMD,NASDAQ:AEMD,-2.000,,
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$137.97,-24.11%,,,,$142.16,3.04%,$0.00,-100.00%,$0.00,-100.00%,AEP,NASDAQ:AEP,0.231,$138.37,
NYSE:AER,5 Mar 2026,$119.70,1,,,,$147.54,-18.87%,,,,$148.98,0.98%,-$11.72,-107.94%,-$2.91,-101.97%,AER,NYSE:AER,-0.230,$163.78,
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.63,-7.96%,,,,$15.11,3.28%,$0.00,-100.00%,$0.00,-100.00%,AES,NYSE:AES,0.440,$15.11,
NASDAQ:AFYA,20 Apr 2026,$21.45,3,$16.67,2,,$14.87,12.10%,,,,$15.42,3.70%,$41.09,176.29%,$63.31,325.78%,AFYA,NASDAQ:AFYA,0.412,$17.39,-4.14%
NYSE:AG,12 Aug 2025,$7.66,3,,,,$16.81,-54.46%,,,,$17.80,5.89%,$38.32,127.94%,$45.80,172.47%,AG,NYSE:AG,0.295,$26.50,
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$30.74,-37.70%,,,,$31.44,2.28%,$37.31,21.38%,$45.02,46.46%,AGI,NYSE:AGI,-0.096,$60.50,
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$194.44,-7.55%,,,,$203.38,4.60%,"-$2,576.54",-1425.11%,"-$2,595.95",-1435.09%,AGM,NYSE:AGM,0.456,$215.33,1.70%
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$11.00,-6.27%,,,,$10.63,-3.36%,-$66.67,-706.09%,-$66.36,-703.29%,AGNC,NASDAQ:AGNC,-0.370,$11.44,-9.88%
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$80.19,24.98%,,,,$78.78,-1.76%,$11.73,-85.37%,$11.73,-85.37%,AGO,NYSE:AGO,-0.036,$102.33,2.93%
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$9.66,-2.69%,,,,$9.66,0.00%,$21.61,123.73%,$46.65,382.91%,AGRO,NYSE:AGRO,0.101,$13.11,-28.30%
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$10.21,33.89%,,,,$9.95,-2.55%,$18.98,85.89%,$56.64,454.80%,AHCO,NASDAQ:AHCO,-0.361,$13.44,1.71%
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$75.12,12.83%,,,,$78.14,4.02%,-$129.36,-272.20%,-$63.94,-185.12%,AIG,NYSE:AIG,0.166,$87.65,3.37%
NASDAQ:AIMD,29 Jan 2026,$2.10,3,,,,$1.79,17.54%,,,,,-100.00%,-$2.00,-211.73%,-$2.00,-211.73%,AIMD,NASDAQ:AIMD,-2.000,,
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$75.49,-11.51%,,,,$79.59,5.43%,$130.73,73.18%,$172.49,128.50%,AIN,NYSE:AIN,0.675,$56.25,18.76%
NASDAQ:AIP,5 Feb 2026,$16.04,3,$20.50,7,,$47.36,-66.13%,,,,$45.29,-4.37%,$0.00,-100.00%,$0.00,-100.00%,AIP,NASDAQ:AIP,0.440,$20.50,0.00%
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$4.52,10.62%,,,,$4.43,-1.99%,$5.31,17.41%,$9.68,114.06%,AIRS,NASDAQ:AIRS,-0.013,$3.00,66.67%
NYSE:AIV,29 Jun 2026,$2.90,3,,2,3.71,$3.00,-3.50%,-3.50%,$2.90,$7.00,$3.18,6.00%,-$5.41,-280.33%,-$3.56,-218.75%,AIV,NYSE:AIV,0.913,$7.00,
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$267.98,-17.22%,,,,$265.80,-0.81%,$474.25,76.97%,$570.82,113.01%,AIZ,NYSE:AIZ,-0.130,$260.00,-7.88%
