Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:SITC	1	8.77				25.975946052465396	95.86231242704768	3.3903
NYSE:DD	1	68.88	2026-03-02	0.3575		65.60874474662243	46.90194900495387	-1.9050
NYSE:ELME	1	3.19	2026-01-08	0.18		-1.628909030140985	6.092731103690131	-1.7349
NASDAQ:REAL	0.8653565645217896	10.77				14.098693489057611	16.953354543996085	-0.3513
NASDAQ:MNST	0.8551540970802307	82.09				103.60518682240196	105.83820116343101	1.9478
NYSE:TDG	0.8380421996116638	1315.94				1582.100935263342	1716.3224154669015	34.8302
NYSE:ONON	0.8219954967498779	40.26				60.82303952855875	70.61248376918046	0.8370
NASDAQ:RCKY	0.8160529732704163	46.53	2026-03-02	0.155		122.75922377190287	140.57939037086098	2.9680
NYSE:UNFI	0.8107957243919373	43.90				128.72508564275603	194.71672640430276	-1.2801
NYSE:CMI	0.7993353009223938	572.18	2026-02-20	1.91		874.1958609058239	1016.6300751173643	20.5768
NYSE:SYY	0.7819822430610657	89.92	2026-04-02	0.5325		95.99304842199922	131.75787415186093	3.7521
NASDAQ:VRA	0.7760312557220459	3.87				45.1929652703361	47.785407333446095	-1.7125
NYSE:IBP	0.7715638875961304	298.57	2026-03-13	0.37		374.0576799303333	469.56513377540574	9.8387
NYSE:KBH	0.7596796154975891	56.79	2026-02-05	0.25		175.39087607694816	193.4723310672936	6.7874
NYSE:DECK	0.7593685388565063	108.01				557.3709389435892	565.9757176712073	7.3259
NYSE:WWW	0.7482001185417175	17.20	2026-04-01	0.1	GTC: delete	84.17392294909294	95.79198957042259	1.1781
NYSE:KR	0.748190701007843	79.21	2026-05-15	0.3425		109.56718473547586	161.0814996806205	1.6547
NASDAQ:AVO	0.7448588609695435	13.51				27.197815665771103	29.06378647577671	0.4672
NASDAQ:STKL	0.7414078116416931	6.74				5.306421721045896	8.308962579914331	0.1332
NYSE:CPRI	0.7392909526824951	19.95				63.39224503228076	71.63965353130455	-4.2295
