ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:DD,33.335,83.4,42.44,44.9,199821717.97
NYSE:ELME,1.98,17.68,2.02,2.06,3437141.53
NYSE:WWW,9.58,32.8,15.89,15.98,18398388.21
NYSE:KR,58.6,76.58,73.2,75.6,587216522.13
NYSE:DECK,78.91,133.43,100.43,100.78,224899764.68
NASDAQ:MNST,54.73,87.38,73.69,77.11,455193813.17
NYSE:BF.A,23.01,35.955,23.33,23.85,6319874.71
NASDAQ:JBIO,2.44,17.71,14.0,13.92,9064353.68
NASDAQ:ATPC,0.0453,6.3,2.19,4.44,43167894.21
NYSE:LOW,206.385,293.06,224.63,237.59,646994469.24
NYSE:TAP,41.39,63.5,41.4,43.61,136547298.71
NYSE:FMX,83.08,116.09,101.39,106.18,36533178.02
NYSE:ONON,34.38,61.2882,37.66,37.99,216157142.60
NASDAQ:VRA,1.39,3.7994,3.33,3.48,2630370.67
NASDAQ:ANDE,31.03,71.54,66.44,70.74,31041952.58
NYSE:PM,142.11,191.3,163.11,174.66,940027625.88
NYSE:DBI,2.175,8.7508,5.4,5.54,3672134.60
NYSE:UNFI,20.78,43.293,38.77,41.66,44337713.79
NASDAQ:RCKY,11.93,48.7,39.02,42.62,2632157.99
NYSE:ABEV,2.1,3.24,2.71,2.86,69802806.93
