Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",🙈 Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$58.41,-30.07%,,,,$60.51,3.60%,$51.97,-11.03%,$84.66,44.94%,AA,NYSE:AA,0.160
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$10.30,20.88%,,,,$10.59,2.82%,-$24.18,-334.76%,-$15.74,-252.81%,AAL,NASDAQ:AAL,-0.231
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$98.21,-62.90%,,,,$97.76,-0.46%,$94.75,-3.53%,$97.22,-1.01%,AAOI,NASDAQ:AAOI,-0.132
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$81.48,0.57%,,,,$90.62,11.22%,$87.86,7.84%,$93.30,14.50%,AAON,NASDAQ:AAON,0.403
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$248.80,-4.36%,,,,$254.40,2.25%,$462.36,85.84%,$477.32,91.85%,AAPL,NASDAQ:AAPL,-0.018
NYSE:AAT,27 Mar 2026,$24.40,5,$18.00,5,3.75,$18.18,-0.99%,-0.99%,$18.00,$24.40,$19.25,5.89%,$17.69,-2.68%,$53.65,195.13%,AAT,NYSE:AAT,0.449
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.89,-8.75%,,,,,-100.00%,-$2.00,-102.64%,-$2.00,-102.64%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$75.89,-3.24%,,,,$78.92,3.99%,-$162.51,-314.14%,-$153.58,-302.37%,ABCB,NYSE:ABCB,0.024
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,3.5,$2.81,11.03%,11.03%,$3.12,$3.23,$2.99,6.41%,$7.15,154.39%,$8.02,185.31%,ABEV,NYSE:ABEV,0.693
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$37.49,48.79%,,,,$38.31,2.19%,$13.41,-64.24%,$31.32,-16.47%,ABM,NYSE:ABM,-0.094
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$103.99,16.92%,,,,$105.43,1.38%,$144.06,38.54%,$162.38,56.15%,ABT,NYSE:ABT,-0.041
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$2.94,148.06%,,,,$3.07,4.42%,$0.59,-79.90%,$11.29,283.87%,ACCO,NYSE:ACCO,0.137
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.75,20.07%,,,,$11.09,3.16%,$11.24,4.54%,$18.01,67.50%,ACEL,NYSE:ACEL,-0.252
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.42,4.12%,,,,$94.55,1.21%,$251.65,169.38%,$260.67,179.03%,ACGL,NASDAQ:ACGL,-0.027
NYSE:ACI,26 Mar 2026,$24.11,5,$20.75,8,4.5,$17.07,21.56%,21.56%,$20.75,$24.11,$17.76,4.04%,$43.89,157.13%,$54.49,219.20%,ACI,NYSE:ACI,0.645
NASDAQ:ACIW,10 Feb 2026,$52.10,5,$63.33,2,,$39.88,30.64%,,,,$40.05,0.43%,$101.03,153.35%,$106.69,167.52%,ACIW,NASDAQ:ACIW,-0.329
NASDAQ:ACLS,18 Mar 2026,$98.97,4,,,3.5,$97.35,1.66%,1.66%,$98.97,$98.97,$104.27,7.11%,$136.54,40.26%,$141.53,45.38%,ACLS,NASDAQ:ACLS,0.523
NASDAQ:ACMR,5 Feb 2026,$52.94,2,$43.25,9,,$40.07,7.94%,,,,$45.55,13.68%,$54.57,36.18%,$60.74,51.59%,ACMR,NASDAQ:ACMR,0.151
NYSE:ACN,26 Mar 2026,$261.57,3,$259.88,10,4,$192.60,34.93%,34.93%,$259.88,$261.57,$204.18,6.01%,$470.05,144.05%,$505.85,162.64%,ACN,NYSE:ACN,0.545
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$4.15,158.36%,,,,$4.24,2.17%,$7.35,77.06%,$7.75,86.63%,ACVA,NYSE:ACVA,-0.396
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.41,6.52%,,,,$73.46,-1.28%,$56.00,-24.74%,$89.02,19.64%,ADC,NYSE:ADC,-0.630
NASDAQ:ADEA,5 Feb 2026,$20.67,3,,,,$24.19,-14.53%,,,,$24.62,1.78%,$46.94,94.04%,$54.47,125.18%,ADEA,NASDAQ:ADEA,-0.120
NASDAQ:ADI,4 Jan 2026,$270.08,3,$290.50,7,,$307.44,-12.15%,,,,$329.86,7.29%,$386.16,25.61%,$427.22,38.96%,ADI,NASDAQ:ADI,0.386
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$1.64,-68.72%,,,,,-100.00%,-$2.00,-221.95%,-$2.00,-221.95%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADP,27 Jan 2026,$279.90,4,$288.80,7,,$201.25,39.08%,,,,$202.22,0.48%,$204.51,1.62%,$226.00,12.30%,ADP,NASDAQ:ADP,-0.433
NASDAQ:ADTN,10 Feb 2026,$10.14,3,$12.50,8,,$12.93,-21.57%,,,,$13.43,3.87%,$28.28,118.70%,$48.51,275.14%,ADTN,NASDAQ:ADTN,0.457
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$193.40,-58.90%,,,,$185.59,-4.04%,$339.49,75.54%,$397.07,105.31%,AEM,NYSE:AEM,-0.407
NASDAQ:AEMD,4 Dec 2025,$7.60,3,,,,$2.15,253.49%,,,,,-100.00%,-$2.00,-193.02%,-$2.00,-193.02%,AEMD,NASDAQ:AEMD,-2.000
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$130.10,-19.52%,,,,$132.58,1.91%,-$9.74,-107.49%,$54.22,-58.33%,AEP,NASDAQ:AEP,0.284
NYSE:AER,5 Mar 2026,$119.70,1,,,1.25,$133.38,-10.26%,-10.26%,$119.70,$119.70,$134.35,0.73%,-$21.11,-115.83%,-$12.62,-109.46%,AER,NYSE:AER,-0.296
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.00,-3.82%,,,,$14.47,3.36%,-$52.49,-474.96%,-$26.80,-291.39%,AES,NYSE:AES,0.393
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.75,20.68%,,,,$14.95,1.36%,$133.89,807.74%,$136.84,827.72%,AFYA,NASDAQ:AFYA,-0.175
NYSE:AG,12 Aug 2025,$7.66,3,,,,$20.68,-62.98%,,,,$21.23,2.66%,$40.81,97.33%,$48.31,133.62%,AG,NYSE:AG,0.356
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$42.54,-54.98%,,,,$40.44,-4.94%,$50.84,19.50%,$60.12,41.33%,AGI,NYSE:AGI,-0.346
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,,$141.62,26.93%,,,,$143.14,1.07%,"-$2,624.65",-1953.30%,"-$2,644.12",-1967.06%,AGM,NYSE:AGM,-0.337
NASDAQ:AGNC,23 Dec 2025,$10.87,3,$10.31,9,,$9.69,6.40%,,,,$9.93,2.48%,-$75.91,-883.42%,-$76.18,-886.21%,AGNC,NASDAQ:AGNC,-0.116
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$79.29,26.40%,,,,$81.75,3.10%,$13.46,-83.02%,$13.46,-83.02%,AGO,NYSE:AGO,-0.295
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$14.05,-33.10%,,,,$13.81,-1.71%,$26.25,86.80%,$51.62,267.39%,AGRO,NYSE:AGRO,-0.463
NASDAQ:AHCO,3 Dec 2025,$13.94,3,$13.67,6,,$11.20,22.05%,,,,$11.85,5.80%,$20.15,79.90%,$57.90,416.98%,AHCO,NASDAQ:AHCO,0.123
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$72.95,16.19%,,,,$73.90,1.30%,-$99.51,-236.41%,-$32.78,-144.94%,AIG,NYSE:AIG,-0.572
NASDAQ:AIMD,29 Jan 2026,$2.10,3,,,,$1.39,51.37%,,,,,-100.00%,-$2.00,-243.88%,-$2.00,-243.88%,AIMD,NASDAQ:AIMD,-2.000
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$50.83,31.42%,,,,$54.39,7.00%,$106.82,110.15%,$148.71,192.56%,AIN,NYSE:AIN,0.311
NASDAQ:AIP,5 Feb 2026,$16.04,3,$20.50,7,,$16.51,-2.84%,,,,$19.14,15.93%,$19.07,15.49%,$20.35,23.24%,AIP,NASDAQ:AIP,0.235
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$2.87,74.22%,,,,$2.98,3.83%,$0.00,-100.00%,$0.00,-100.00%,AIRS,NASDAQ:AIRS,-0.393
NYSE:AIV,4 Mar 2026,$4.19,3,,9,3.5,$3.95,6.08%,6.08%,$4.19,$4.19,$4.16,5.32%,-$4.36,-210.32%,-$2.51,-163.59%,AIV,NYSE:AIV,0.263
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$213.28,4.00%,,,,$217.36,1.91%,$429.23,101.25%,$526.15,146.69%,AIZ,NYSE:AIZ,-0.413
NASDAQ:AKAM,11 Feb 2026,$114.28,5,$103.73,9,,$114.50,-9.41%,,,,$117.30,2.45%,$124.69,8.90%,$173.56,51.58%,AKAM,NASDAQ:AKAM,-0.149
NYSE:AL,2 Jan 2026,$58.27,3,$66.50,5,,$64.80,-10.08%,,,,$65.35,0.85%,-$206.27,-418.32%,-$110.42,-270.41%,AL,NYSE:AL,-0.155
NASDAQ:ALAB,27 Jan 2026,$140.56,1,$194.64,5,,$112.47,24.98%,,,,$121.86,8.35%,$134.42,19.51%,$135.19,20.20%,ALAB,NASDAQ:ALAB,0.079
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$73.34,11.06%,,,,$75.10,2.40%,$123.91,68.95%,$153.08,108.73%,ALC,NYSE:ALC,-0.153
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,,$20.84,-20.26%,,,,$0.00,-100.00%,$21.11,1.28%,$26.76,28.39%,ALEX,NYSE:ALEX,-1.000
NASDAQ:ALGM,19 Jan 2026,$25.92,2,$39.14,8,,$30.12,-13.96%,,,,$33.63,11.65%,$40.02,32.87%,$44.84,48.88%,ALGM,NASDAQ:ALGM,0.279
NYSE:ALIT,11 Feb 2026,$3.53,3,$3.67,5,,$0.54,554.54%,,,,$0.50,-7.41%,$6.52,1108.11%,$20.06,3613.90%,ALIT,NYSE:ALIT,-0.247
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$202.71,-9.86%,,,,$204.80,1.03%,$413.67,104.07%,$438.68,116.41%,ALL,NYSE:ALL,-0.351
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$144.50,14.45%,,,,$151.38,4.76%,$267.68,85.25%,$294.29,103.66%,ALLE,NYSE:ALLE,0.056
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$37.79,9.90%,,,,$40.26,6.54%,-$467.78,-1337.83%,-$505.19,-1436.83%,ALLY,NYSE:ALLY,0.089
NASDAQ:ALNT,4 Feb 2026,$50.47,2,,,,$62.42,-19.14%,,,,$61.48,-1.51%,$96.91,55.25%,$111.11,78.01%,ALNT,NASDAQ:ALNT,-0.360
NASDAQ:ALRM,11 Feb 2026,$60.94,3,$85.00,1,,$42.49,43.43%,,,,$43.03,1.27%,$86.29,103.08%,$102.43,141.06%,ALRM,NASDAQ:ALRM,-0.098
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$23.57,4.11%,,,,$25.16,6.75%,-$127.54,-641.11%,-$120.91,-612.97%,ALRS,NASDAQ:ALRS,0.471
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$114.46,-14.26%,,,,$121.25,5.93%,$220.05,92.25%,$247.01,115.81%,ALSN,NYSE:ALSN,0.079
NASDAQ:ALT,23 Dec 2025,$9.35,5,$13.00,2,,$3.02,209.60%,,,,$3.23,6.95%,$1.64,-45.73%,$1.65,-45.44%,ALT,NASDAQ:ALT,-0.052
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.23,333.33%,,,,$1.29,4.88%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,-0.524
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$3.11,178.52%,,,,$3.11,0.00%,$0.00,-100.00%,$0.00,-100.00%,ALVO,NASDAQ:ALVO,-0.123
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$37.95,-19.23%,,,,$39.30,3.56%,-$153.75,-505.15%,-$142.11,-474.47%,AMAL,NASDAQ:AMAL,0.154
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.94,30.43%,,,,$4.19,6.35%,$11.09,181.57%,$18.98,381.65%,AMBP,NYSE:AMBP,-0.102
