ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:VISN,4.5403,20.55,11.93,19.4,146077803.82
NASDAQ:TASK,6.2,18.39,6.54,6.48,2463241.51
NYSE:DD,33.335,83.4,46.24,46.33,132744596.06
NYSE:NLOP,11.235,34.53,13.11,13.15,2050014.53
NYSE:ELME,1.98,17.68,2.15,2.13,2076050.58
NASDAQ:VIAV,8.75,60.43,55.33,47.75,349101442.29
NASDAQ:JBIO,6.565,28.0,24.23,24.98,18726902.63
NASDAQ:PBYI,2.85,7.8983,7.49,7.54,1478759.79
NYSE:WLK,56.33,124.23,114.99,110.64,104561104.69
NYSE:SITC,5.24,13.095,5.56,5.57,2531499.34
NASDAQ:LITE,60.38,985.13,949.93,881.64,4128671889.46
NASDAQ:LOPE,149.365,223.04,163.41,163.49,44248449.70
NYSE:HPE,16.175,29.63,28.57,28.16,388077193.10
NASDAQ:NBTX,3.26,41.8899,35.12,33.58,2567225.52
NYSE:DTE,126.23,154.63,148.79,146.88,184628397.57
NASDAQ:WDFC,175.38,253.24,211.06,224.96,39996117.39
NASDAQ:FWRD,14.815,32.47,21.33,23.44,14585532.49
NYSE:CBRE,118.805,174.27,141.81,148.29,320855551.19
NASDAQ:SEPN,6.415,32.63,23.61,24.67,9044360.10
NASDAQ:NRIX,8.195,22.4999,16.81,16.68,12660705.23
