Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,🙈 Symbol,"🙈 Google
Symbol",Score,Analyst Target Price,Tip Ranks Difference
NYSE:AA,17 Aug 2025,$40.85,3,,,,$62.53,-34.68%,,,,$63.30,1.23%,$57.68,-7.75%,$77.83,24.47%,AA,NYSE:AA,-0.376,$72.55,
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$12.31,1.15%,,,,$11.97,-2.76%,-$23.04,-287.16%,-$14.59,-218.55%,AAL,NASDAQ:AAL,0.032,$14.94,-8.10%
NASDAQ:AAOI,30 Jan 2026,$36.44,3,$38.25,6,,$190.36,-80.86%,,,,$151.64,-20.34%,$134.60,-29.29%,$137.08,-27.99%,AAOI,NASDAQ:AAOI,0.519,$90.30,-57.64%
NASDAQ:AAON,22 Jan 2026,$81.94,2,$119.00,4,,$135.49,-39.52%,,,,$86.11,-36.45%,$92.59,-31.66%,$98.02,-27.65%,AAON,NASDAQ:AAON,-0.304,$122.75,-3.05%
NASDAQ:AAPL,19 Jan 2026,$237.95,2,$299.69,8,,$300.23,-20.74%,,,,$272.62,-9.20%,$481.50,60.38%,$496.54,65.39%,AAPL,NASDAQ:AAPL,-0.009,$297.46,0.75%
NYSE:AAT,22 Apr 2026,$25.97,5,$19.00,3,3,$20.77,-8.52%,-8.52%,$19.00,$25.97,$21.25,2.31%,$20.86,0.41%,$57.01,174.49%,AAT,NYSE:AAT,-0.263,$19.00,0.00%
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$82.56,-16.12%,,,,,-100.00%,-$2.00,-102.42%,-$2.00,-102.42%,ABCB,NYSE:ABCB,-2.000,,
NYSE:ABCB,19 Nov 2025,$73.43,3,,,,$82.56,-11.06%,,,,$84.49,2.34%,-$152.47,-284.68%,-$143.55,-273.87%,ABCB,NYSE:ABCB,-0.588,$89.93,
NYSE:ABEV,19 Mar 2026,$3.23,4,$3.12,5,,$3.07,1.63%,,,,$2.90,-5.54%,$7.27,136.81%,$8.14,165.23%,ABEV,NYSE:ABEV,-0.004,$3.15,-0.95%
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$39.38,41.65%,,,,$40.20,2.08%,$15.72,-60.08%,$33.68,-14.48%,ABM,NYSE:ABM,-0.332,$51.43,13.55%
NYSE:ABT,11 Dec 2025,$121.58,3,$147.38,6,,$84.47,43.93%,,,,$94.18,11.50%,$0.00,-100.00%,$0.00,-100.00%,ABT,NYSE:ABT,-0.171,$120.00,22.82%
NYSE:ACCO,28 Apr 2026,$4.93,5,$7.00,6,3.25,$3.76,31.24%,31.24%,$4.93,$7.67,$3.28,-12.77%,$1.17,-68.89%,$11.66,210.20%,ACCO,NYSE:ACCO,-0.390,$7.67,-8.74%
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.61,11.17%,,,,$12.26,5.60%,$12.36,6.46%,$19.15,64.92%,ACEL,NYSE:ACEL,-0.267,$15.50,-3.23%
