Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:DD	0.999910295009613	54.65	2026-05-15	0.3575		65.49462354796592	47.19100619304233	-1.9006	55.87
NASDAQ:VISN	0.9998781681060791	11.80	2026-04-28	0	GTC: delete	23.9853916032162	38.000321931295666	6.2751	22.38
NASDAQ:TASK	0.9971768260002136	7.17	2026-03-26	0		22.74794799622937	52.844176438277366	2.8010	12.00
NYSE:SITC	0.9954560399055481	6.23			GTC: delete	25.692932480172107	94.77947326230618	3.3894	5.50
NYSE:NLOP	0.9950450658798218	14.76	2026-03-30	0		103.5740075202576	145.83997921006855	-9.8057	46.00
NYSE:ELME	0.9934247136116028	2.42				-1.4596813015794954	6.161118127925673	-1.7349	18.00
NASDAQ:VIAV	0.9779895544052124	48.59				45.77977670625344	51.846030110955915	-0.1802	30.93
NASDAQ:JBIO	0.8805987238883972	29.00				0	0	-2.5835	28.71
NASDAQ:LOPE	0.822295069694519	177.87			Buy 57 at $169.41 ~= $9,656	453.37155676022115	479.2213466576004	7.9640	213.00
NASDAQ:PBYI	0.8004345893859863	8.10				24.74900053081641	35.15964238380688	0.6108	5.00
NASDAQ:INCY	0.7883337140083313	102.98				268.0919842830679	276.3841059250933	6.4651	107.36
NASDAQ:ISTR	0.7721683979034424	29.72	2026-03-31	0.10875		0	0	2.0834	33.17
NYSE:ASH	0.7688192129135132	60.78	2026-02-27	0.4125		122.09735513924221	182.1862312282206	-15.0997	67.50
NYSE:WLK	0.760877251625061	117.93	2026-03-03	0		138.13928949565772	172.9062186668624	-11.7736	119.93
NYSE:HPE	0.755375325679779	29.49	2026-03-24	0.13325		16.662735100952897	49.96561839302878	-0.1176	26.43
NYSE:OEC	0.7549148201942444	8.10	2026-06-10	0.02075		17.557887436517753	49.5037630221469	-1.2457	6.31
NASDAQ:WDFC	0.7543307542800903	234.97	2026-04-17	0.98		280.46748956629847	294.88658785809815	5.9446	249.50
NYSE:CBRE	0.7467929124832153	154.34			Buy 27 at $147.84 ~= $3,992	198.4165703531611	208.1563052918404	3.9469	175.67
NASDAQ:NRIX	0.744109570980072	18.26				25.670506374703734	28.23508747759592	-2.8555	30.24
NASDAQ:LITE	0.7408508062362671	878.69				784.8608099085342	847.3615416926933	3.5238	773.35
